"ind","FFDAYS","FLOWER"
"-NA",NA,FALSE
"E1-1",211,TRUE
"E1-10",211,TRUE
"E1-100",190,TRUE
"E1-101",197,TRUE
"E1-102",190,TRUE
"E1-103",211,TRUE
"E1-104",211,TRUE
"E1-105",190,TRUE
"E1-106",190,TRUE
"E1-107",211,TRUE
"E1-108",197,TRUE
"E1-109",197,TRUE
"E1-11",190,TRUE
"E1-110",190,TRUE
"E1-111",197,TRUE
"E1-112",190,TRUE
"E1-113",197,TRUE
"E1-114",197,TRUE
"E1-115",211,TRUE
"E1-116",190,TRUE
"E1-117",211,TRUE
"E1-118",197,TRUE
"E1-119",230,TRUE
"E1-12",184,TRUE
"E1-120",190,TRUE
"E1-121",190,TRUE
"E1-122",190,TRUE
"E1-123",218,TRUE
"E1-124",211,TRUE
"E1-125",197,TRUE
"E1-126",218,TRUE
"E1-127",190,TRUE
"E1-128",179,TRUE
"E1-129",211,TRUE
"E1-13",184,TRUE
"E1-130",190,TRUE
"E1-131",190,TRUE
"E1-132",211,TRUE
"E1-133",190,TRUE
"E1-134",190,TRUE
"E1-135",190,TRUE
"E1-136",184,TRUE
"E1-137",179,TRUE
"E1-138",211,TRUE
"E1-139",190,TRUE
"E1-14",211,TRUE
"E1-140",197,TRUE
"E1-141",211,TRUE
"E1-142",184,TRUE
"E1-143",197,TRUE
"E1-144",190,TRUE
"E1-145",197,TRUE
"E1-146",190,TRUE
"E1-147",197,TRUE
"E1-148",190,TRUE
"E1-149",197,TRUE
"E1-15",190,TRUE
"E1-150",211,TRUE
"E1-151",211,TRUE
"E1-152",190,TRUE
"E1-153",211,TRUE
"E1-154",211,TRUE
"E1-155",190,TRUE
"E1-156",NA,FALSE
"E1-157",190,TRUE
"E1-158",190,TRUE
"E1-159",211,TRUE
"E1-16",211,TRUE
"E1-160",197,TRUE
"E1-161",190,TRUE
"E1-162",211,TRUE
"E1-163",179,TRUE
"E1-164",232,TRUE
"E1-165",184,TRUE
"E1-166",211,TRUE
"E1-167",232,TRUE
"E1-168",184,TRUE
"E1-169",190,TRUE
"E1-17",184,TRUE
"E1-170",184,TRUE
"E1-171",211,TRUE
"E1-172",190,TRUE
"E1-173",179,TRUE
"E1-174",230,TRUE
"E1-175",184,TRUE
"E1-176",190,TRUE
"E1-177",211,TRUE
"E1-178",179,TRUE
"E1-179",190,TRUE
"E1-18",179,TRUE
"E1-180",197,TRUE
"E1-181",190,TRUE
"E1-182",211,TRUE
"E1-183",171,TRUE
"E1-184",190,TRUE
"E1-185",190,TRUE
"E1-186",190,TRUE
"E1-187",218,TRUE
"E1-188",179,TRUE
"E1-189",190,TRUE
"E1-19",211,TRUE
"E1-190",211,TRUE
"E1-191",218,TRUE
"E1-192",211,TRUE
"E1-193",179,TRUE
"E1-194",197,TRUE
"E1-195",190,TRUE
"E1-196",190,TRUE
"E1-197",190,TRUE
"E1-198",184,TRUE
"E1-199",197,TRUE
"E1-2",184,TRUE
"E1-20",179,TRUE
"E1-200",179,TRUE
"E1-21",211,TRUE
"E1-22",211,TRUE
"E1-23",171,TRUE
"E1-24",190,TRUE
"E1-25",197,TRUE
"E1-26",211,TRUE
"E1-27",184,TRUE
"E1-28",179,TRUE
"E1-29",197,TRUE
"E1-3",197,TRUE
"E1-30",190,TRUE
"E1-31",184,TRUE
"E1-32",184,TRUE
"E1-33",190,TRUE
"E1-34",211,TRUE
"E1-35",190,TRUE
"E1-36",184,TRUE
"E1-37",184,TRUE
"E1-38",190,TRUE
"E1-39",179,TRUE
"E1-4",211,TRUE
"E1-40",190,TRUE
"E1-41",179,TRUE
"E1-42",190,TRUE
"E1-43",190,TRUE
"E1-44",197,TRUE
"E1-45",190,TRUE
"E1-46",179,TRUE
"E1-47",197,TRUE
"E1-48",197,TRUE
"E1-49",184,TRUE
"E1-5",190,TRUE
"E1-50",211,TRUE
"E1-51",197,TRUE
"E1-52",197,TRUE
"E1-53",179,TRUE
"E1-54",190,TRUE
"E1-55",184,TRUE
"E1-56",190,TRUE
"E1-57",211,TRUE
"E1-58",190,TRUE
"E1-59",190,TRUE
"E1-6",190,TRUE
"E1-60",190,TRUE
"E1-61",190,TRUE
"E1-62",197,TRUE
"E1-63",NA,FALSE
"E1-64",184,TRUE
"E1-65",190,TRUE
"E1-66",190,TRUE
"E1-67",190,TRUE
"E1-68",184,TRUE
"E1-69",190,TRUE
"E1-7",184,TRUE
"E1-70",184,TRUE
"E1-71",211,TRUE
"E1-72",190,TRUE
"E1-73",190,TRUE
"E1-74",218,TRUE
"E1-75",190,TRUE
"E1-76",184,TRUE
"E1-77",190,TRUE
"E1-78",190,TRUE
"E1-79",211,TRUE
"E1-8",190,TRUE
"E1-80",197,TRUE
"E1-81",211,TRUE
"E1-82",211,TRUE
"E1-83",190,TRUE
"E1-84",197,TRUE
"E1-85",211,TRUE
"E1-86",190,TRUE
"E1-87",197,TRUE
"E1-88",190,TRUE
"E1-89",197,TRUE
"E1-9",184,TRUE
"E1-90",184,TRUE
"E1-91",NA,FALSE
"E1-92",184,TRUE
"E1-93",184,TRUE
"E1-94",197,TRUE
"E1-95",230,TRUE
"E1-96",218,TRUE
"E1-97",211,TRUE
"E1-98",190,TRUE
"E1-99",211,TRUE
"E10-1",200,TRUE
"E10-10",NA,FALSE
"E10-100",179,TRUE
"E10-101",192,TRUE
"E10-102",185,TRUE
"E10-103",185,TRUE
"E10-104",200,TRUE
"E10-105",185,TRUE
"E10-106",233,TRUE
"E10-107",185,TRUE
"E10-108",200,TRUE
"E10-109",179,TRUE
"E10-11",179,TRUE
"E10-110",185,TRUE
"E10-111",200,TRUE
"E10-112",185,TRUE
"E10-113",185,TRUE
"E10-114",185,TRUE
"E10-115",179,TRUE
"E10-116",185,TRUE
"E10-117",185,TRUE
"E10-118",185,TRUE
"E10-119",192,TRUE
"E10-12",192,TRUE
"E10-120",212,TRUE
"E10-121",212,TRUE
"E10-122",226,TRUE
"E10-123",200,TRUE
"E10-124",212,TRUE
"E10-125",185,TRUE
"E10-126",200,TRUE
"E10-127",192,TRUE
"E10-128",172,TRUE
"E10-129",200,TRUE
"E10-13",192,TRUE
"E10-130",185,TRUE
"E10-131",192,TRUE
"E10-132",192,TRUE
"E10-133",192,TRUE
"E10-134",185,TRUE
"E10-135",185,TRUE
"E10-136",179,TRUE
"E10-137",185,TRUE
"E10-138",185,TRUE
"E10-139",200,TRUE
"E10-14",192,TRUE
"E10-140",179,TRUE
"E10-141",192,TRUE
"E10-142",200,TRUE
"E10-143",185,TRUE
"E10-144",212,TRUE
"E10-145",185,TRUE
"E10-146",185,TRUE
"E10-147",212,TRUE
"E10-148",179,TRUE
"E10-149",192,TRUE
"E10-15",192,TRUE
"E10-150",179,TRUE
"E10-151",179,TRUE
"E10-152",192,TRUE
"E10-153",192,TRUE
"E10-154",192,TRUE
"E10-155",185,TRUE
"E10-156",185,TRUE
"E10-157",200,TRUE
"E10-158",179,TRUE
"E10-159",179,TRUE
