"Block","Pos","rawWeight","ind","Weight"
"E1","1",30.07,"E1-1",1.02417
"E1","2",31.4,"E1-2",2.35417
"E1","3",34.66,"E1-3",5.61417
"E1","4",29.01,"E1-4",0
"E1","5",31.79,"E1-5",2.74417
"E1","6",37.46,"E1-6",8.41417
"E1","7",33.3,"E1-7",4.25417
"E1","8",31.39,"E1-8",2.34417
"E1","9",33.09,"E1-9",4.04417
"E1","10",31.21,"E1-10",2.16417
"E1","11",30.58,"E1-11",1.53417
"E1","12",31.86,"E1-12",2.81417
"E1","13",35.68,"E1-13",6.63417
"E1","14",28.6,"E1-14",0
"E1","15",30.61,"E1-15",1.56417
"E1","16",30.64,"E1-16",1.59417
"E1","17",28.16,"E1-17",0
"E1","18",37.93,"E1-18",8.88417
"E1","19",30.47,"E1-19",1.42417
"E1","20",30.72,"E1-20",1.67417
"E1","21",31.42,"E1-21",2.37417
"E1","22",29.63,"E1-22",0.58417
"E1","23",38.04,"E1-23",8.99417
"E1","24",31.81,"E1-24",2.76417
"E1","25",32.41,"E1-25",3.36417
"E1","26",33.3,"E1-26",4.25417
"E1","27",34.59,"E1-27",5.54417
"E1","28",38.84,"E1-28",9.79417
"E1","29",30.45,"E1-29",1.40417
"E1","30",31.8,"E1-30",2.75417
"E1","31",35.79,"E1-31",6.74417
"E1","32",33.2,"E1-32",4.15417
"E1","33",35.63,"E1-33",6.58417
"E1","34",31.72,"E1-34",2.67417
"E1","35",33.25,"E1-35",4.20417
"E1","36",42.77,"E1-36",13.72417
"E1","37",32.18,"E1-37",3.13417
"E1","38",33.26,"E1-38",4.21417
"E1","39",32.87,"E1-39",3.82417
"E1","40",40.09,"E1-40",11.04417
"E1","41",43.78,"E1-41",14.73417
"E1","42",31.16,"E1-42",2.11417
"E1","43",42.94,"E1-43",13.89417
"E1","44",30.48,"E1-44",1.43417
"E1","45",32.28,"E1-45",3.23417
"E1","46",36.31,"E1-46",7.26417
"E1","47",31.61,"E1-47",2.56417
"E1","48",32.94,"E1-48",3.89417
"E1","49",38.22,"E1-49",9.17417
"E1","50",31.05,"E1-50",2.00417
"E1","51",42.36,"E1-51",13.31417
"E1","52",30.02,"E1-52",0.974170000000001
"E1","53",30.65,"E1-53",1.60417
"E1","54",33.75,"E1-54",4.70417
"E1","55",35.59,"E1-55",6.54417
"E1","56",46.32,"E1-56",17.27417
"E1","57",28.56,"E1-57",0
"E1","58",44.63,"E1-58",15.58417
"E1","59",33.26,"E1-59",4.21417
"E1","60",37.01,"E1-60",7.96417
"E1","61",40.9,"E1-61",11.85417
"E1","62",32.19,"E1-62",3.14417
"E1","64",35.3,"E1-64",6.25417
"E1","65",34.6,"E1-65",5.55417
"E1","66",36.73,"E1-66",7.68417
"E1","67",31.42,"E1-67",2.37417
"E1","68",42.61,"E1-68",13.56417
"E1","69",37.31,"E1-69",8.26417
"E1","70",39.02,"E1-70",9.97417
"E1","71",31.33,"E1-71",2.28417
"E1","72",36.62,"E1-72",7.57417
"E1","73",34.19,"E1-73",5.14417
"E1","74",29.5,"E1-74",0.454170000000001
"E1","75",37.92,"E1-75",8.87417
"E1","76",40.82,"E1-76",11.77417
"E1","77",32.07,"E1-77",3.02417
"E1","78",37.48,"E1-78",8.43417
"E1","79",31.48,"E1-79",2.43417
"E1","80",30.85,"E1-80",1.80417
"E1","81",41.48,"E1-81",12.43417
"E1","82",32.43,"E1-82",3.38417
"E1","83",37.53,"E1-83",8.48417
"E1","84",32.42,"E1-84",3.37417
"E1","85",35.71,"E1-85",6.66417
"E1","86",33.69,"E1-86",4.64417
"E1","87",32.06,"E1-87",3.01417
"E1","88",44.61,"E1-88",15.56417
"E1","89",37.35,"E1-89",8.30417
"E1","90",36.11,"E1-90",7.06417
"E1","91",31.34,"E1-91",2.29417
"E1","92",31.94,"E1-92",2.89417
"E1","93",45.12,"E1-93",16.07417
"E1","94",37.96,"E1-94",8.91417
"E1","95",31.77,"E1-95",2.72417
"E1","96",27.93,"E1-96",0
"E1","97",40.16,"E1-97",11.11417
"E1","98",48.6,"E1-98",19.55417
"E1","99",36.95,"E1-99",7.90417
"E1","100",63.09,"E1-100",34.04417
"E1","101",83.12,"E1-101",54.07417
"E1","102",43.17,"E1-102",14.12417
"E1","103",60.97,"E1-103",31.92417
"E1","104",47.31,"E1-104",18.26417
"E1","105",41.13,"E1-105",12.08417
"E1","106",27.69,"E1-106",0
"E1","107",46.41,"E1-107",17.36417
"E1","108",39.13,"E1-108",10.08417
"E1","109",35.83,"E1-109",6.78417
"E1","110",38.77,"E1-110",9.72417
"E1","111",41.77,"E1-111",12.72417
"E1","112",39.88,"E1-112",10.83417
"E1","113",46.1,"E1-113",17.05417
"E1","114",28.93,"E1-114",0
"E1","115",35.89,"E1-115",6.84417
"E1","116",33.62,"E1-116",4.57417
"E1","117",33.59,"E1-117",4.54417
"E1","118",39.39,"E1-118",10.34417
"E1","119",30.07,"E1-119",1.02417
"E1","120",33.78,"E1-120",4.73417
"E1","121",32.17,"E1-121",3.12417
"E1","122",33.59,"E1-122",4.54417
"E1","123",40.02,"E1-123",10.97417
"E1","124",31.46,"E1-124",2.41417
"E1","125",33.02,"E1-125",3.97417
"E1","126",41.27,"E1-126",12.22417
"E1","127",31.41,"E1-127",2.36417
"E1","128",39.69,"E1-128",10.64417
"E1","129",31.79,"E1-129",2.74417
"E1","130",35.69,"E1-130",6.64417
"E1","131",32.47,"E1-131",3.42417
"E1","132",30.7,"E1-132",1.65417
"E1","133",30.88,"E1-133",1.83417
"E1","134",34.08,"E1-134",5.03417
"E1","135",34.02,"E1-135",4.97417
"E1","136",37.89,"E1-136",8.84417
"E1","137",29.87,"E1-137",0.824170000000002
"E1","138",38.88,"E1-138",9.83417
"E1","139",33.23,"E1-139",4.18417
"E1","140",41.54,"E1-140",12.49417
"E1","141",36.4,"E1-141",7.35417
"E1","142",36.96,"E1-142",7.91417
"E1","143",34.64,"E1-143",5.59417
"E1","144",39.82,"E1-144",10.77417
"E1","145",35.99,"E1-145",6.94417
"E1","146",32.5,"E1-146",3.45417
"E1","147",29.89,"E1-147",0.844170000000002
"E1","148",41.34,"E1-148",12.29417
"E1","149",35.01,"E1-149",5.96417
"E1","150",21.32,"E1-150",0
"E1","151",29.62,"E1-151",0.574170000000002
"E1","152",39.8,"E1-152",10.75417
"E1","153",40.57,"E1-153",11.52417
"E1","154",31.96,"E1-154",2.91417
"E1","155",38.93,"E1-155",9.88417
"E1","156",27.84,"E1-156",0
"E1","157",34.59,"E1-157",5.54417
"E1","158",42.81,"E1-158",13.76417
"E1","159",31.91,"E1-159",2.86417
"E1","160",31.2,"E1-160",2.15417
"E1","161",29.62,"E1-161",0.574170000000002
"E1","162",30.3,"E1-162",1.25417
"E1","163",35.4,"E1-163",6.35417
"E1","164",30.64,"E1-164",1.59417
"E1","165",32.7,"E1-165",3.65417
"E1","166",32.03,"E1-166",2.98417
"E1","167",29.97,"E1-167",0.92417
"E1","168",40.3,"E1-168",11.25417
"E1","169",31.28,"E1-169",2.23417
"E1","170",34.45,"E1-170",5.40417
"E1","171",28.24,"E1-171",0
"E1","172",35.39,"E1-172",6.34417
"E1","173",40.77,"E1-173",11.72417
"E1","174",28.77,"E1-174",0
"E1","175",31.9,"E1-175",2.85417
"E1","176",37.31,"E1-176",8.26417
"E1","177",36.22,"E1-177",7.17417
"E1","178",34.94,"E1-178",5.89417
"E1","179",29.74,"E1-179",0.69417
"E1","180",32.25,"E1-180",3.20417
"E1","181",29.45,"E1-181",0.404170000000001
"E1","182",29.52,"E1-182",0.474170000000001
"E1","183",38.61,"E1-183",9.56417
"E1","184",30.29,"E1-184",1.24417
"E1","185",34.68,"E1-185",5.63417
"E1","186",30.94,"E1-186",1.89417
"E1","187",31.17,"E1-187",2.12417
"E1","188",40.64,"E1-188",11.59417
"E1","189",30.09,"E1-189",1.04417
"E1","190",32.16,"E1-190",3.11417
"E1","191",30.1,"E1-191",1.05417
"E1","192",30.65,"E1-192",1.60417
"E1","193",42.44,"E1-193",13.39417
"E1","194",29.46,"E1-194",0.414170000000002
"E1","195",33.29,"E1-195",4.24417
"E1","196",35.41,"E1-196",6.36417
"E1","197",30.34,"E1-197",1.29417
"E1","198",43.76,"E1-198",14.71417
"E1","199",31.75,"E1-199",2.70417
"E1","200",46.29,"E1-200",17.24417
"E10","1",30.15,"E10-1",1.10417
"E10","2",35.8,"E10-2",6.75417
"E10","3",30.3,"E10-3",1.25417
"E10","4",31.64,"E10-4",2.59417
"E10","5",30.45,"E10-5",1.40417
"E10","6",36.68,"E10-6",7.63417
"E10","7",33.4,"E10-7",4.35417
"E10","8",28.32,"E10-8",0
"E10","9",30.42,"E10-9",1.37417
"E10","10",30.84,"E10-10",1.79417
"E10","11",33.74,"E10-11",4.69417
"E10","12",29.99,"E10-12",0.94417
"E10","13",31.71,"E10-13",2.66417
"E10","14",21.6,"E10-14",0
"E10","15",31.4,"E10-15",2.35417
"E10","16",29.9,"E10-16",0.85417
"E10","17",30.94,"E10-17",1.89417
"E10","18",33.67,"E10-18",4.62417
"E10","19",29.45,"E10-19",0.404170000000001
"E10","20",30.41,"E10-20",1.36417
"E10","21",46.46,"E10-21",17.41417
"E10","22",29.55,"E10-22",0.504170000000002
"E10","23",30.53,"E10-23",1.48417
"E10","24",30.5,"E10-24",1.45417
"E10","25",28.57,"E10-25",0
"E10","26",31.76,"E10-26",2.71417
"E10","27",32.11,"E10-27",3.06417
"E10","28",29.42,"E10-28",0.374170000000003
"E10","29",33.55,"E10-29",4.50417
"E10","30",32.18,"E10-30",3.13417
"E10","31",29.35,"E10-31",0.304170000000003
"E10","32",31.77,"E10-32",2.72417
"E10","33",31.68,"E10-33",2.63417
"E10","34",28.34,"E10-34",0
"E10","35",31.79,"E10-35",2.74417
"E10","36",33.54,"E10-36",4.49417
"E10","37",30.84,"E10-37",1.79417
"E10","38",33.52,"E10-38",4.47417
"E10","39",27.65,"E10-39",0
"E10","40",30.17,"E10-40",1.12417
"E10","41",37.6,"E10-41",8.55417
"E10","42",29.08,"E10-42",0.0341699999999996
"E10","43",33.18,"E10-43",4.13417
"E10","44",29.24,"E10-44",0.19417
"E10","45",30.98,"E10-45",1.93417
"E10","46",35.44,"E10-46",6.39417
"E10","47",29.14,"E10-47",0.0941700000000019
"E10","48",32.32,"E10-48",3.27417
"E10","49",29.2,"E10-49",0.154170000000001
"E10","50",36.68,"E10-50",7.63417
"E10","51",33.83,"E10-51",4.78417
"E10","52",33.39,"E10-52",4.34417
"E10","53",36.63,"E10-53",7.58417
"E10","54",33.35,"E10-54",4.30417
"E10","55",34.62,"E10-55",5.57417
