"ind","FFDAYS","FLOWER"
"E1-1",204,TRUE
"E1-10",218,TRUE
"E1-100",196,TRUE
"E1-101",196,TRUE
"E1-102",204,TRUE
"E1-103",224,TRUE
"E1-104",204,TRUE
"E1-105",196,TRUE
"E1-106",204,TRUE
"E1-107",204,TRUE
"E1-108",210,TRUE
"E1-109",204,TRUE
"E1-11",204,TRUE
"E1-110",204,TRUE
"E1-111",204,TRUE
"E1-112",210,TRUE
"E1-113",204,TRUE
"E1-114",224,TRUE
"E1-115",210,TRUE
"E1-116",204,TRUE
"E1-117",210,TRUE
"E1-118",196,TRUE
"E1-119",218,TRUE
"E1-12",196,TRUE
"E1-120",204,TRUE
"E1-121",196,TRUE
"E1-122",196,TRUE
"E1-123",218,TRUE
"E1-124",204,TRUE
"E1-125",210,TRUE
"E1-126",210,TRUE
"E1-127",196,TRUE
"E1-128",189,TRUE
"E1-129",218,TRUE
"E1-13",189,TRUE
"E1-130",204,TRUE
"E1-131",196,TRUE
"E1-132",218,TRUE
"E1-133",204,TRUE
"E1-134",210,TRUE
"E1-135",204,TRUE
"E1-136",189,TRUE
"E1-137",196,TRUE
"E1-138",218,TRUE
"E1-139",210,TRUE
"E1-14",218,TRUE
"E1-140",210,TRUE
"E1-141",210,TRUE
"E1-142",196,TRUE
"E1-143",204,TRUE
"E1-144",196,TRUE
"E1-145",204,TRUE
"E1-146",204,TRUE
"E1-147",210,TRUE
"E1-148",204,TRUE
"E1-149",204,TRUE
"E1-15",218,TRUE
"E1-150",218,TRUE
"E1-151",204,TRUE
"E1-152",196,TRUE
"E1-153",204,TRUE
"E1-154",210,TRUE
"E1-155",196,TRUE
"E1-156",NA,FALSE
"E1-157",196,TRUE
"E1-158",189,TRUE
"E1-159",218,TRUE
"E1-16",218,TRUE
"E1-160",204,TRUE
"E1-161",196,TRUE
"E1-162",204,TRUE
"E1-163",196,TRUE
"E1-164",210,TRUE
"E1-165",196,TRUE
"E1-166",218,TRUE
"E1-167",218,TRUE
"E1-168",196,TRUE
"E1-169",204,TRUE
"E1-17",NA,FALSE
"E1-170",196,TRUE
"E1-171",218,TRUE
