"ind","pop","fam","lat","lon"
"E1-1","15","22",44.2915,-79.04909003
"E1-2","18","77",45.76868,-79.39777502
"E1-3","11","60",43.28958,-76.128568
"E1-4","17","30",45.02376,-79.31190301
"E1-5","12","75",44.54749,-76.12868903
"E1-6","17","59",45.02376,-79.31190301
"E1-7","9","72",42.79109,-76.135327
"E1-8","13","27",44.6076,-76.27898502
"E1-9","13","53",44.6076,-76.27898502
"E1-10","1","7",38.8235,-77.71118397
"E1-11","16","9",44.75284,-79.33799797
"E1-12","15","42",44.2915,-79.04909003
"E1-13","9","49",42.79109,-76.135327
"E1-14","20","43",48.10384,-80.19977597
"E1-15","1","47",38.8235,-77.71118397
"E1-16","6","19",41.57154,-74.48428896
"E1-17","14","20",44.29771,-78.300041
"E1-18","18","3",45.76868,-79.39777502
"E1-19","4","14",40.06813,-76.90717204
"E1-20","19","6",47.73136,-80.32791398
"E1-21","2","25",38.7966,-77.29988901
"E1-22","1","20",38.8235,-77.71118397
"E1-23","20","7",48.10384,-80.19977597
"E1-24","14","61",44.29771,-78.300041
"E1-25","13","78",44.6076,-76.27898502
"E1-26","11","66",43.28958,-76.128568
"E1-27","13","45",44.6076,-76.27898502
"E1-28","15","14",44.2915,-79.04909003
"E1-29","16","66",44.75284,-79.33799797
"E1-30","12","60",44.54749,-76.12868903
"E1-31","19","26",47.73136,-80.32791398
"E1-32","15","13",44.2915,-79.04909003
"E1-33","12","51",44.54749,-76.12868903
"E1-34","3","31",40.23327,-77.280415
"E1-35","6","21",41.57154,-74.48428896
"E1-36","14","30",44.29771,-78.300041
"E1-37","18","76",45.76868,-79.39777502
"E1-38","6","65",41.57154,-74.48428896
"E1-39","1","26",38.8235,-77.71118397
"E1-40","4","46",40.06813,-76.90717204
"E1-41","19","70",47.73136,-80.32791398
"E1-42","15","39",44.2915,-79.04909003
"E1-43","16","59",44.75284,-79.33799797
"E1-44","20","73",48.10384,-80.19977597
"E1-45","8","43",41.97527,-75.19598002
"E1-46","19","25",47.73136,-80.32791398
"E1-47","5","50",41.42692,-75.63466896
"E1-48","13","61",44.6076,-76.27898502
"E1-49","22","24",46.75552,-79.04650404
"E1-50","20","50",48.10384,-80.19977597
"E1-51","10","2",43.69717,-76.19529499
"E1-52","22","11",46.75552,-79.04650404
"E1-53","6","5",41.57154,-74.48428896
"E1-54","14","72",44.29771,-78.300041
"E1-55","9","27",42.79109,-76.135327
"E1-56","11","68",43.28958,-76.128568
"E1-57","11","15",43.28958,-76.128568
"E1-58","20","47",48.10384,-80.19977597
"E1-59","9","35",42.79109,-76.135327
"E1-60","13","60",44.6076,-76.27898502
"E1-61","4","80",40.06813,-76.90717204
"E1-62","10","8",43.69717,-76.19529499
"E1-63","20","59",48.10384,-80.19977597
"E1-64","19","40",47.73136,-80.32791398
"E1-65","16","79",44.75284,-79.33799797
"E1-66","17","1",45.02376,-79.31190301
"E1-67","17","65",45.02376,-79.31190301
"E1-68","13","37",44.6076,-76.27898502
"E1-69","18","80",45.76868,-79.39777502
"E1-70","14","9",44.29771,-78.300041
"E1-71","1","59",38.8235,-77.71118397
"E1-72","11","30",43.28958,-76.128568
"E1-73","16","38",44.75284,-79.33799797
"E1-74","2","19",38.7966,-77.29988901
"E1-75","18","30",45.76868,-79.39777502
"E1-76","20","30",48.10384,-80.19977597
"E1-77","11","63",43.28958,-76.128568
"E1-78","18","69",45.76868,-79.39777502
"E1-79","3","76",40.23327,-77.280415
"E1-80","8","14",41.97527,-75.19598002
"E1-81","22","15",46.75552,-79.04650404
"E1-82","3","45",40.23327,-77.280415
"E1-83","18","61",45.76868,-79.39777502
"E1-84","17","76",45.02376,-79.31190301
"E1-85","20","37",48.10384,-80.19977597
"E1-86","9","33",42.79109,-76.135327
"E1-87","2","7",38.7966,-77.29988901
"E1-88","22","6",46.75552,-79.04650404
"E1-89","14","21",44.29771,-78.300041
"E1-90","16","5",44.75284,-79.33799797
"E1-91","2","31",38.7966,-77.29988901
"E1-92","14","16",44.29771,-78.300041
"E1-93","13","2",44.6076,-76.27898502
"E1-94","5","34",41.42692,-75.63466896
"E1-95","1","2",38.8235,-77.71118397
"E1-96","1","17",38.8235,-77.71118397
"E1-97","4","47",40.06813,-76.90717204
"E1-98","15","74",44.2915,-79.04909003
"E1-99","2","12",38.7966,-77.29988901
"E1-100","14","39",44.29771,-78.300041
"E1-101","6","36",41.57154,-74.48428896
"E1-102","18","19",45.76868,-79.39777502
"E1-103","20","5",48.10384,-80.19977597
"E1-104","2","77",38.7966,-77.29988901
"E1-105","14","70",44.29771,-78.300041
"E1-106","18","22",45.76868,-79.39777502
"E1-107","11","37",43.28958,-76.128568
"E1-108","1","64",38.8235,-77.71118397
"E1-109","6","20",41.57154,-74.48428896
"E1-110","20","41",48.10384,-80.19977597
"E1-111","8","13",41.97527,-75.19598002
"E1-112","20","23",48.10384,-80.19977597
"E1-113","11","26",43.28958,-76.128568
"E1-114","17","13",45.02376,-79.31190301
"E1-115","8","63",41.97527,-75.19598002
