"Ind","Block","Pos","Date","Measurer","Egg","Larv","Adt","Wvl","OH","U","D","PropDam","Treatment"
"E1-1","E1","1",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-2","E1","2",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,1,0.142857142857143,"Sprayed"
"E1-3","E1","3",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,0,0,"Sprayed"
"E1-4","E1","4",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-5","E1","5",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-6","E1","6",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,0,0,"Sprayed"
"E1-7","E1","7",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-8","E1","8",2020-06-18,"Darcey",NA,NA,NA,0,NA,2,0,0,"Sprayed"
"E1-9","E1","9",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-10","E1","10",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-11","E1","11",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,1,0.2,"Sprayed"
"E1-12","E1","12",2020-06-18,"Darcey",NA,NA,NA,3,NA,3,0,0,"Sprayed"
"E1-13","E1","13",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,1,0.333333333333333,"Sprayed"
"E1-14","E1","14",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-15","E1","15",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-16","E1","16",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-17","E1","17",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-18","E1","18",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-19","E1","19",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-21","E1","21",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-22","E1","22",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,1,0.2,"Sprayed"
"E1-23","E1","23",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-24","E1","24",2020-06-18,"Darcey",NA,NA,NA,0,NA,6,0,0,"Sprayed"
"E1-25","E1","25",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-26","E1","26",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-27","E1","27",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-28","E1","28",2020-06-18,"Darcey",NA,NA,NA,2,NA,1,1,0.5,"Sprayed"
"E1-29","E1","29",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-31","E1","31",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-32","E1","32",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-33","E1","33",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,2,0.4,"Sprayed"
"E1-34","E1","34",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-35","E1","35",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-36","E1","36",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,2,0.666666666666667,"Sprayed"
"E1-37","E1","37",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-38","E1","38",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-40","E1","40",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-41","E1","41",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-42","E1","42",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-43","E1","43",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,0,0,"Sprayed"
"E1-45","E1","45",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-46","E1","46",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-47","E1","47",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-48","E1","48",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-49","E1","49",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-50","E1","50",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,0,0,"Sprayed"
"E1-51","E1","51",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,1,0.2,"Sprayed"
"E1-52","E1","52",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,0,0,"Sprayed"
"E1-53","E1","53",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-54","E1","54",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Sprayed"
"E1-55","E1","55",2020-06-18,"Darcey",NA,NA,NA,2,NA,4,0,0,"Sprayed"
"E1-56","E1","56",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-57","E1","57",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-58","E1","58",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,1,0.166666666666667,"Sprayed"
"E1-59","E1","59",2020-06-18,"Darcey",NA,NA,NA,3,NA,3,0,0,"Sprayed"
"E1-60","E1","60",2020-06-18,"Darcey",NA,NA,NA,2,NA,1,0,0,"Sprayed"
"E1-61","E1","61",2020-06-18,"Darcey",NA,NA,NA,2,NA,10,1,0.0909090909090909,"Sprayed"
"E1-62","E1","62",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-63","E1","63",2020-06-18,"Darcey",NA,NA,NA,NA,NA,NA,NA,NA,"Sprayed"
"E1-64","E1","64",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-66","E1","66",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-67","E1","67",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-68","E1","68",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,0,0,"Sprayed"
"E1-69","E1","69",2020-06-18,"Darcey",NA,NA,NA,1,NA,6,0,0,"Sprayed"
"E1-70","E1","70",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-71","E1","71",2020-06-18,"Darcey",NA,NA,NA,2,NA,3,2,0.4,"Sprayed"
"E1-72","E1","72",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-73","E1","73",2020-06-18,"Darcey",NA,NA,NA,0,NA,3,0,0,"Sprayed"
"E1-74","E1","74",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-75","E1","75",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-76","E1","76",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-77","E1","77",2020-06-18,"Darcey",NA,NA,NA,0,NA,4,0,0,"Sprayed"
"E1-78","E1","78",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,1,0.166666666666667,"Sprayed"
"E1-79","E1","79",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-80","E1","80",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,1,0.25,"Sprayed"
"E1-81","E1","81",2020-06-18,"Darcey",NA,NA,NA,2,NA,2,0,0,"Sprayed"
"E1-82","E1","82",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
"E1-83","E1","83",2020-06-18,"Darcey",NA,NA,NA,2,NA,6,0,0,"Sprayed"
"E1-84","E1","84",2020-06-18,"Darcey",NA,NA,NA,1,NA,2,0,0,"Sprayed"
"E1-85","E1","85",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-86","E1","86",2020-06-18,"Darcey",NA,NA,NA,1,NA,4,1,0.2,"Sprayed"
"E1-87","E1","87",2020-06-18,"Darcey",NA,NA,NA,1,NA,1,0,0,"Sprayed"
"E1-88","E1","88",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-89","E1","89",2020-06-18,"Darcey",NA,NA,NA,0,NA,7,0,0,"Sprayed"
"E1-90","E1","90",2020-06-18,"Darcey",NA,NA,NA,1,NA,5,0,0,"Sprayed"
"E1-91","E1","91",2020-06-18,"Darcey",NA,NA,NA,0,NA,5,0,0,"Sprayed"
"E1-92","E1","92",2020-06-18,"Darcey",NA,NA,NA,1,NA,3,0,0,"Sprayed"
