"Ind","Block","Pos","Date","Measurer","Veg","Bud","Flr","Fert","Abt","M","S","N","cdate","round","ind_round"
"E1-1","E1","1",2020-05-31,"Damian",19,NA,NA,NA,NA,"","","","2020-05-31","1","E1-1_1"
"E1-2","E1","2",2020-05-31,"Damian",30,NA,NA,NA,NA,"","","","2020-05-31","1","E1-2_1"
"E1-3","E1","3",2020-05-31,"Damian",25,NA,NA,NA,NA,"","","","2020-05-31","1","E1-3_1"
"E1-4","E1","4",2020-05-31,"Damian",27.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-4_1"
"E1-5","E1","5",2020-05-31,"Damian",20.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-5_1"
"E1-6","E1","6",2020-05-31,"Damian",27,NA,NA,NA,NA,"","","","2020-05-31","1","E1-6_1"
"E1-7","E1","7",2020-05-31,"Damian",18,NA,NA,NA,NA,"","","","2020-05-31","1","E1-7_1"
"E1-8","E1","8",2020-05-31,"Damian",25,NA,NA,NA,NA,"","","","2020-05-31","1","E1-8_1"
"E1-9","E1","9",2020-05-31,"Damian",17.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-9_1"
"E1-10","E1","10",2020-05-31,"Damian",13,NA,NA,NA,NA,"","","","2020-05-31","1","E1-10_1"
"E1-11","E1","11",2020-05-31,"Damian",21,NA,NA,NA,NA,"","","","2020-05-31","1","E1-11_1"
"E1-12","E1","12",2020-05-31,"Damian",26.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-12_1"
"E1-13","E1","13",2020-05-31,"Damian",27,NA,NA,NA,NA,"","","","2020-05-31","1","E1-13_1"
"E1-14","E1","14",2020-05-31,"Damian",17,NA,NA,NA,NA,"","","","2020-05-31","1","E1-14_1"
"E1-15","E1","15",2020-05-31,"Damian",14.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-15_1"
"E1-16","E1","16",2020-05-31,"Damian",16.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-16_1"
"E1-17","E1","17",2020-05-31,"Damian",6,NA,NA,NA,NA,"","","","2020-05-31","1","E1-17_1"
"E1-18","E1","18",2020-05-31,"Damian",21,NA,NA,NA,NA,"","","","2020-05-31","1","E1-18_1"
"E1-19","E1","19",2020-05-31,"Damian",24.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-19_1"
"E1-20","E1","20",2020-05-31,"Damian",12.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-20_1"
"E1-21","E1","21",2020-05-31,"Damian",22,NA,NA,NA,NA,"","","","2020-05-31","1","E1-21_1"
"E1-22","E1","22",2020-05-31,"Damian",16,NA,NA,NA,NA,"","","","2020-05-31","1","E1-22_1"
"E1-23","E1","23",2020-05-31,"Damian",34,NA,NA,NA,NA,"","","","2020-05-31","1","E1-23_1"
"E1-24","E1","24",2020-05-31,"Damian",21.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-24_1"
"E1-25","E1","25",2020-05-31,"Damian",23,NA,NA,NA,NA,"","","","2020-05-31","1","E1-25_1"
"E1-26","E1","26",2020-05-31,"Damian",31.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-26_1"
"E1-27","E1","27",2020-05-31,"Damian",20,NA,NA,NA,NA,"","","","2020-05-31","1","E1-27_1"
"E1-28","E1","28",2020-05-31,"Damian",18.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-28_1"
"E1-29","E1","29",2020-05-31,"Damian",NA,NA,NA,NA,NA,"","","","2020-05-31","1","E1-29_1"
"E1-30","E1","30",2020-05-31,"Damian",NA,NA,NA,NA,NA,"","","","2020-05-31","1","E1-30_1"
"E1-31","E1","31",2020-05-31,"Damian",9,NA,NA,NA,NA,"","","","2020-05-31","1","E1-31_1"
"E1-32","E1","32",2020-05-31,"Damian",24.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-32_1"
"E1-33","E1","33",2020-05-31,"Damian",22.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-33_1"
"E1-34","E1","34",2020-05-31,"Damian",27.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-34_1"
"E1-35","E1","35",2020-05-31,"Damian",41.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-35_1"
"E1-36","E1","36",2020-05-31,"Damian",13,NA,NA,NA,NA,"","","","2020-05-31","1","E1-36_1"
"E1-37","E1","37",2020-05-31,"Damian",16.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-37_1"
"E1-38","E1","38",2020-05-31,"Damian",38,NA,NA,NA,NA,"","","","2020-05-31","1","E1-38_1"
"E1-39","E1","39",2020-05-31,"Damian",10,NA,NA,NA,NA,"","","","2020-05-31","1","E1-39_1"
"E1-40","E1","40",2020-05-31,"Damian",41.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-40_1"
"E1-41","E1","41",2020-05-31,"Damian",15.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-41_1"
"E1-42","E1","42",2020-05-31,"Damian",17.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-42_1"
"E1-43","E1","43",2020-05-31,"Damian",32,NA,NA,NA,NA,"","","","2020-05-31","1","E1-43_1"
"E1-44","E1","44",2020-05-31,"Damian",NA,NA,NA,NA,NA,"","","","2020-05-31","1","E1-44_1"
"E1-45","E1","45",2020-05-31,"Damian",37,NA,NA,NA,NA,"","","","2020-05-31","1","E1-45_1"
"E1-46","E1","46",2020-05-31,"Damian",10.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-46_1"
"E1-47","E1","47",2020-05-31,"Damian",26,NA,NA,NA,NA,"","","","2020-05-31","1","E1-47_1"
"E1-48","E1","48",2020-05-31,"Damian",16.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-48_1"
"E1-49","E1","49",2020-05-31,"Damian",21.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-49_1"
"E1-50","E1","50",2020-05-31,"Damian",38,NA,NA,NA,NA,"","","","2020-05-31","1","E1-50_1"
"E1-51","E1","51",2020-05-31,"Damian",32,NA,NA,NA,NA,"","","","2020-05-31","1","E1-51_1"
"E1-52","E1","52",2020-05-31,"Damian",13,NA,NA,NA,NA,"","","","2020-05-31","1","E1-52_1"
"E1-53","E1","53",2020-05-31,"Damian",8,NA,NA,NA,NA,"","","","2020-05-31","1","E1-53_1"
"E1-54","E1","54",2020-05-31,"Damian",12.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-54_1"
"E1-55","E1","55",2020-05-31,"Damian",16,NA,NA,NA,NA,"","","","2020-05-31","1","E1-55_1"
"E1-56","E1","56",2020-05-31,"Damian",32,NA,NA,NA,NA,"","","","2020-05-31","1","E1-56_1"
"E1-57","E1","57",2020-05-31,"Damian",18,NA,NA,NA,NA,"","","","2020-05-31","1","E1-57_1"
"E1-58","E1","58",2020-05-31,"Damian",21,NA,NA,NA,NA,"","","","2020-05-31","1","E1-58_1"
"E1-59","E1","59",2020-05-31,"Damian",17,NA,NA,NA,NA,"","","","2020-05-31","1","E1-59_1"
"E1-60","E1","60",2020-05-31,"Damian",12.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-60_1"
"E1-61","E1","61",2020-05-31,"Damian",20.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-61_1"
"E1-62","E1","62",2020-05-31,"Damian",16.5,NA,NA,NA,NA,"","","","2020-05-31","1","E1-62_1"
