"Ind","Block","Pos","Date","Measurer","Veg","Bud","Flr","Fert","Abt","M","S","N","X","round","ind_round"
"E3-1","E3","1",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-1_1"
"E3-2","E3","2",2021-06-02,"Maya",19,NA,NA,NA,NA,"",NA,"","","1","E3-2_1"
"E3-3","E3","3",2021-06-02,"Maya",20,NA,NA,NA,NA,"",NA,"","","1","E3-3_1"
"E3-4","E3","4",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-4_1"
"E3-5","E3","5",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-5_1"
"E3-6","E3","6",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-6_1"
"E3-7","E3","7",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-7_1"
"E3-8","E3","8",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-8_1"
"E3-9","E3","9",2021-06-02,"Maya",6,NA,NA,NA,NA,"",NA,"","","1","E3-9_1"
"E3-10","E3","10",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-10_1"
"E3-11","E3","11",2021-06-02,"Maya",4,NA,NA,NA,NA,"",NA,"","","1","E3-11_1"
"E3-12","E3","12",2021-06-02,"Maya",3,NA,NA,NA,NA,"",NA,"","","1","E3-12_1"
"E3-13","E3","13",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-13_1"
"E3-14","E3","14",2021-06-02,"Maya",11,NA,NA,NA,NA,"",NA,"","","1","E3-14_1"
"E3-15","E3","15",2021-06-02,"Maya",9,NA,NA,NA,NA,"",NA,"","","1","E3-15_1"
"E3-16","E3","16",2021-06-02,"Maya",5,NA,NA,NA,NA,"",NA,"","","1","E3-16_1"
"E3-17","E3","17",2021-06-02,"Maya",12,NA,NA,NA,NA,"",NA,"","","1","E3-17_1"
"E3-18","E3","18",2021-06-02,"Maya",20,NA,NA,NA,NA,"",NA,"","","1","E3-18_1"
"E3-19","E3","19",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-19_1"
"E3-20","E3","20",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-20_1"
"E3-21","E3","21",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-21_1"
"E3-22","E3","22",2021-06-02,"Maya",7,NA,NA,NA,NA,"",NA,"","","1","E3-22_1"
"E3-23","E3","23",2021-06-02,"Maya",24.5,NA,NA,NA,NA,"",NA,"","","1","E3-23_1"
"E3-24","E3","24",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-24_1"
"E3-25","E3","25",2021-06-02,"Maya",26,NA,NA,NA,NA,"",NA,"","","1","E3-25_1"
"E3-26","E3","26",2021-06-02,"Maya",15.5,NA,NA,NA,NA,"",NA,"","","1","E3-26_1"
"E3-27","E3","27",2021-06-02,"Maya",15,NA,NA,NA,NA,"",NA,"","","1","E3-27_1"
"E3-28","E3","28",2021-06-02,"Maya",19,NA,NA,NA,NA,"",NA,"","","1","E3-28_1"
"E3-29","E3","29",2021-06-02,"Maya",19,NA,NA,NA,NA,"",NA,"","","1","E3-29_1"
"E3-30","E3","30",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-30_1"
"E3-31","E3","31",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-31_1"
"E3-32","E3","32",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-32_1"
"E3-33","E3","33",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-33_1"
"E3-34","E3","34",2021-06-02,"Maya",10,NA,NA,NA,NA,"",NA,"","","1","E3-34_1"
"E3-35","E3","35",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-35_1"
"E3-36","E3","36",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-36_1"
"E3-37","E3","37",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-37_1"
"E3-38","E3","38",2021-06-02,"Maya",17,NA,NA,NA,NA,"",NA,"","","1","E3-38_1"
"E3-39","E3","39",2021-06-02,"Maya",18.5,NA,NA,NA,NA,"",NA,"","","1","E3-39_1"
"E3-40","E3","40",2021-06-02,"Maya",13,NA,NA,NA,NA,"",NA,"","","1","E3-40_1"
"E3-41","E3","41",2021-06-02,"Maya",18,NA,NA,NA,NA,"",NA,"","","1","E3-41_1"
"E3-42","E3","42",2021-06-02,"Maya",16,NA,NA,NA,NA,"",NA,"","","1","E3-42_1"
"E3-43","E3","43",2021-06-02,"Maya",21,NA,NA,NA,NA,"",NA,"","","1","E3-43_1"
"E3-44","E3","44",2021-06-02,"Maya",23,NA,NA,NA,NA,"",NA,"","","1","E3-44_1"
"E3-45","E3","45",2021-06-02,"Maya",22,NA,NA,NA,NA,"",NA,"","","1","E3-45_1"
"E3-46","E3","46",2021-06-02,"Maya",8,NA,NA,NA,NA,"",NA,"","","1","E3-46_1"
"E3-47","E3","47",2021-06-02,"Maya",14,NA,NA,NA,NA,"",NA,"","","1","E3-47_1"
"E3-48","E3","48",2021-06-02,"Maya",12,NA,NA,NA,NA,"",NA,"","","1","E3-48_1"
