"Ind","Block","Pos","Date","Measurer","Veg","Bud","Flr","Fert","Abt","M","S","N","round","ind_round"
"E3-1","E3","1",2022-05-13,"Logan ",13,NA,NA,NA,NA,"","","","1","E3-1_1"
"E3-2","E3","2",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-2_1"
"E3-3","E3","3",2022-05-13,"Logan ",12,NA,NA,NA,NA,"","","","1","E3-3_1"
"E3-4","E3","4",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-4_1"
"E3-5","E3","5",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-5_1"
"E3-6","E3","6",2022-05-13,"Logan ",NA,NA,NA,NA,NA,"","","","1","E3-6_1"
"E3-7","E3","7",2022-05-13,"Logan ",NA,NA,NA,NA,NA,"","","","1","E3-7_1"
"E3-8","E3","8",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-8_1"
"E3-9","E3","9",2022-05-13,"Logan ",5,NA,NA,NA,NA,"","","","1","E3-9_1"
"E3-10","E3","10",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-10_1"
"E3-11","E3","11",2022-05-13,"Logan ",NA,NA,NA,NA,NA,"","","","1","E3-11_1"
"E3-12","E3","12",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-12_1"
"E3-13","E3","13",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-13_1"
"E3-14","E3","14",2022-05-13,"Logan ",5,NA,NA,NA,NA,"","","","1","E3-14_1"
"E3-15","E3","15",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-15_1"
"E3-16","E3","16",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-16_1"
"E3-17","E3","17",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-17_1"
"E3-18","E3","18",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-18_1"
"E3-19","E3","19",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-19_1"
"E3-20","E3","20",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-20_1"
"E3-21","E3","21",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-21_1"
"E3-22","E3","22",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-22_1"
"E3-23","E3","23",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-23_1"
"E3-24","E3","24",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-24_1"
"E3-25","E3","25",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-25_1"
"E3-26","E3","26",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-26_1"
"E3-27","E3","27",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-27_1"
"E3-28","E3","28",2022-05-13,"Logan ",13,NA,NA,NA,NA,"","","","1","E3-28_1"
"E3-29","E3","29",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-29_1"
"E3-30","E3","30",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-30_1"
"E3-31","E3","31",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-31_1"
"E3-32","E3","32",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-32_1"
"E3-33","E3","33",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-33_1"
"E3-34","E3","34",2022-05-13,"Logan ",6,NA,NA,NA,NA,"","","","1","E3-34_1"
"E3-35","E3","35",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-35_1"
"E3-36","E3","36",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-36_1"
"E3-37","E3","37",2022-05-13,"Logan ",NA,NA,NA,NA,NA,"","","","1","E3-37_1"
"E3-38","E3","38",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-38_1"
"E3-39","E3","39",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-39_1"
"E3-40","E3","40",2022-05-13,"Logan ",19,NA,NA,NA,NA,"","","","1","E3-40_1"
"E3-41","E3","41",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-41_1"
"E3-42","E3","42",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-42_1"
"E3-43","E3","43",2022-05-13,"Logan ",15,NA,NA,NA,NA,"","","","1","E3-43_1"
"E3-44","E3","44",2022-05-13,"Logan ",5,NA,NA,NA,NA,"","","","1","E3-44_1"
"E3-45","E3","45",2022-05-13,"Logan ",12,NA,NA,NA,NA,"","","","1","E3-45_1"
"E3-46","E3","46",2022-05-13,"Logan ",8,NA,NA,NA,NA,"","","","1","E3-46_1"
"E3-47","E3","47",2022-05-13,"Logan ",5,NA,NA,NA,NA,"","","","1","E3-47_1"
"E3-48","E3","48",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-48_1"
"E3-49","E3","49",2022-05-13,"Logan ",9,NA,NA,NA,NA,"","","","1","E3-49_1"
"E3-50","E3","50",2022-05-13,"Logan ",3,NA,NA,NA,NA,"","","","1","E3-50_1"
"E3-51","E3","51",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-51_1"
"E3-52","E3","52",2022-05-13,"Logan ",11,NA,NA,NA,NA,"","","","1","E3-52_1"
"E3-53","E3","53",2022-05-13,"Logan ",16,NA,NA,NA,NA,"","","","1","E3-53_1"
"E3-54","E3","54",2022-05-13,"Logan ",4,NA,NA,NA,NA,"","","","1","E3-54_1"
"E3-55","E3","55",2022-05-13,"Logan ",10,NA,NA,NA,NA,"","","","1","E3-55_1"
"E3-56","E3","56",2022-05-13,"Logan ",7,NA,NA,NA,NA,"","","","1","E3-56_1"
"E3-57","E3","57",2022-05-13,"Logan ",5,NA,NA,NA,NA,"","","","1","E3-57_1"
