"Block","Pos","Ind","Weight"
"E3",1,"E3-1",15.1686486486487
"E3",2,"E3-2",10.5586486486486
"E3",3,"E3-3",5.89864864864865
"E3",4,"E3-4",6.30864864864865
"E3",5,"E3-5",0.87864864864865
"E3",6,"E3-6",0
"E3",7,"E3-7",3.28864864864865
"E3",8,"E3-8",31.7086486486486
"E3",9,"E3-9",3.78864864864865
"E3",10,"E3-10",1.82864864864865
"E3",11,"E3-11",0
"E3",12,"E3-12",1.22864864864865
"E3",13,"E3-13",6.80864864864865
"E3",14,"E3-14",1.64864864864865
"E3",15,"E3-15",4.16864864864866
"E3",16,"E3-16",6.06864864864865
"E3",17,"E3-17",3.13864864864865
"E3",18,"E3-18",18.1486486486487
"E3",19,"E3-19",5.37864864864865
"E3",20,"E3-20",9.03864864864865
"E3",21,"E3-21",0
"E3",22,"E3-22",4.74864864864865
"E3",23,"E3-23",8.71864864864865
"E3",24,"E3-24",4.54864864864865
"E3",25,"E3-25",15.3286486486487
"E3",26,"E3-26",2.33864864864865
"E3",27,"E3-27",4.41864864864866
"E3",28,"E3-28",25.9386486486487
"E3",29,"E3-29",5.14864864864865
"E3",30,"E3-30",5.36864864864865
"E3",31,"E3-31",1.20864864864865
"E3",32,"E3-32",5.26864864864865
"E3",33,"E3-33",28.8186486486487
"E3",34,"E3-34",1.35864864864865
"E3",35,"E3-35",2.70864864864865
"E3",36,"E3-36",12.8386486486487
"E3",37,"E3-37",0.548648648648651
"E3",38,"E3-38",5.37864864864865
"E3",39,"E3-39",5.62864864864865
"E3",40,"E3-40",9.42864864864865
"E3",41,"E3-41",4.58864864864865
"E3",42,"E3-42",4.52864864864866
"E3",43,"E3-43",13.3886486486487
"E3",44,"E3-44",2.73864864864865
"E3",45,"E3-45",9.97864864864865
"E3",46,"E3-46",1.10864864864865
"E3",47,"E3-47",0.708648648648655
"E3",48,"E3-48",5.07864864864865
"E3",51,"E3-51",1.53864864864865
"E3",52,"E3-52",3.21864864864865
"E3",53,"E3-53",5.50864864864865
"E3",54,"E3-54",7.94864864864865
"E3",55,"E3-55",3.16864864864866
"E3",56,"E3-56",4.81864864864865
"E3",57,"E3-57",0.668648648648656
"E3",58,"E3-58",14.8486486486487
"E3",59,"E3-59",1.43864864864865
"E3",60,"E3-60",12.6686486486487
"E3",61,"E3-61",13.6886486486487
"E3",62,"E3-62",0
"E3",63,"E3-63",6.37864864864865
"E3",64,"E3-64",1.63864864864865
"E3",65,"E3-65",17.4086486486487
"E3",66,"E3-66",3.65864864864865
"E3",67,"E3-67",0.0286486486486552
"E3",68,"E3-68",0
"E3",69,"E3-69",16.0886486486487
"E3",70,"E3-70",11.7686486486487
"E3",71,"E3-71",2.86864864864865
"E3",72,"E3-72",0
"E3",73,"E3-73",9.43864864864865
"E3",74,"E3-74",11.1186486486487
"E3",75,"E3-75",2.87864864864865
"E3",76,"E3-76",12.2186486486487
"E3",77,"E3-77",0.388648648648655
"E3",78,"E3-78",18.1286486486486
"E3",79,"E3-79",3.42864864864865
"E3",80,"E3-80",16.3786486486486
"E3",81,"E3-81",3.25864864864865
"E3",82,"E3-82",1.35864864864865
"E3",83,"E3-83",0
"E3",84,"E3-84",0.898648648648653
"E3",85,"E3-85",0.0786486486486524
"E3",86,"E3-86",5.20864864864865
"E3",87,"E3-87",0.368648648648652
"E3",88,"E3-88",4.84864864864866
"E3",89,"E3-89",1.06864864864865
"E3",90,"E3-90",3.02864864864866
"E3",91,"E3-91",0
"E3",92,"E3-92",2.92864864864865
"E3",93,"E3-93",10.2086486486487
"E3",94,"E3-94",0
"E3",95,"E3-95",7.11864864864865
"E3",96,"E3-96",36.6486486486486
"E3",97,"E3-97",0
"E3",98,"E3-98",23.3486486486487
"E3",99,"E3-99",2.85864864864865
"E3",100,"E3-100",7.93864864864865
"E3",101,"E3-101",2.02864864864866
"E3",102,"E3-102",6.02864864864866
"E3",103,"E3-103",28.8886486486487
"E3",104,"E3-104",25.0686486486487
"E3",105,"E3-105",1.28864864864865
"E3",106,"E3-106",9.23864864864865
"E3",107,"E3-107",0
"E3",108,"E3-108",0
"E3",109,"E3-109",5.48864864864865
"E3",110,"E3-110",1.05864864864865
"E3",111,"E3-111",24.8686486486487
"E3",112,"E3-112",4.81864864864865
"E3",113,"E3-113",10.0386486486487
"E3",114,"E3-114",2.47864864864865
"E3",115,"E3-115",7.41864864864866
"E3",116,"E3-116",14.2386486486486
"E3",117,"E3-117",7.98864864864865
"E3",118,"E3-118",5.79864864864865
"E3",119,"E3-119",2.33864864864865
"E3",120,"E3-120",4.12864864864865
"E3",121,"E3-121",12.5286486486487
"E3",122,"E3-122",0.208648648648655
"E3",123,"E3-123",0.0286486486486552
"E3",124,"E3-124",4.07864864864865
"E3",125,"E3-125",5.34864864864866
"E3",126,"E3-126",16.3386486486487
"E3",127,"E3-127",5.28864864864865
"E3",128,"E3-128",2.59864864864866
"E3",129,"E3-129",7.14864864864865
"E3",130,"E3-130",1.43864864864865
"E3",131,"E3-131",14.3886486486487
"E3",132,"E3-132",2.26864864864865
"E3",133,"E3-133",8.44864864864865
"E3",134,"E3-134",5.01864864864865
"E3",135,"E3-135",9.97864864864865
"E3",136,"E3-136",13.4386486486487
"E3",137,"E3-137",4.36864864864865
"E3",138,"E3-138",8.25864864864865
"E3",139,"E3-139",5.06864864864865
"E3",140,"E3-140",7.35864864864865
"E3",141,"E3-141",27.1186486486487
"E3",142,"E3-142",0.0686486486486544
"E3",143,"E3-143",13.0186486486487
"E3",144,"E3-144",3.17864864864865
"E3",145,"E3-145",14.8986486486487
"E3",146,"E3-146",5.89864864864865
"E3",147,"E3-147",5.58864864864865
"E3",148,"E3-148",4.55864864864865
"E3",149,"E3-149",3.86864864864865
"E3",150,"E3-150",16.8486486486487
"E3",151,"E3-151",18.0686486486487
"E3",152,"E3-152",2.11864864864865
"E3",153,"E3-153",10.7586486486487
"E3",154,"E3-154",1.62864864864865
