"Ind","Block","Position","Date","Measurer","Veg","Bud","Flr","Frt","Abt","M","S","N","round","ind_round"
"E3-1","E3","1",2023-06-07,"Serena/Jerry",75,NA,NA,NA,NA,"","","","1","E3-1_1"
"E3-2","E3","2",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-2_1"
"E3-3","E3","3",2023-06-07,"Serena/Jerry",53,NA,NA,NA,NA,"","","","1","E3-3_1"
"E3-4","E3","4",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-4_1"
"E3-5","E3","5",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-5_1"
"E3-6","E3","6",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-6_1"
"E3-7","E3","7",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-7_1"
"E3-8","E3","8",2023-06-07,"Serena/Jerry",64,NA,NA,NA,NA,"","","","1","E3-8_1"
"E3-9","E3","9",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-9_1"
"E3-10","E3","10",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-10_1"
"E3-11","E3","11",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-11_1"
"E3-12","E3","12",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-12_1"
"E3-13","E3","13",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-13_1"
"E3-14","E3","14",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-14_1"
"E3-15","E3","15",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-15_1"
"E3-16","E3","16",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-16_1"
"E3-17","E3","17",2023-06-07,"Serena/Jerry",37,NA,NA,NA,NA,"","","","1","E3-17_1"
"E3-18","E3","18",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-18_1"
"E3-19","E3","19",2023-06-07,"Serena/Jerry",54,NA,NA,NA,NA,"","","","1","E3-19_1"
"E3-20","E3","20",2023-06-07,"Serena/Jerry",35,NA,NA,NA,NA,"","","","1","E3-20_1"
"E3-21","E3","21",2023-06-07,"Serena/Jerry",35,NA,NA,NA,NA,"","","","1","E3-21_1"
"E3-22","E3","22",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-22_1"
"E3-23","E3","23",2023-06-07,"Serena/Jerry",52,NA,NA,NA,NA,"","","","1","E3-23_1"
"E3-24","E3","24",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-24_1"
"E3-25","E3","25",2023-06-07,"Serena/Jerry",55,NA,NA,NA,NA,"","","","1","E3-25_1"
"E3-26","E3","26",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-26_1"
"E3-27","E3","27",2023-06-07,"Serena/Jerry",32,NA,NA,NA,NA,"","","","1","E3-27_1"
"E3-28","E3","28",2023-06-07,"Serena/Jerry",49,NA,NA,NA,NA,"","","","1","E3-28_1"
"E3-29","E3","29",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-29_1"
"E3-30","E3","30",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-30_1"
"E3-31","E3","31",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-31_1"
"E3-32","E3","32",2023-06-07,"Serena/Jerry",49,NA,NA,NA,NA,"","","","1","E3-32_1"
"E3-33","E3","33",2023-06-07,"Serena/Jerry",52,NA,NA,NA,NA,"","","","1","E3-33_1"
"E3-34","E3","34",2023-06-07,"Serena/Jerry",25,NA,NA,NA,NA,"","","","1","E3-34_1"
"E3-35","E3","35",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-35_1"
"E3-36","E3","36",2023-06-07,"Serena/Jerry",50,NA,NA,NA,NA,"","","","1","E3-36_1"
"E3-37","E3","37",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-37_1"
"E3-38","E3","38",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-38_1"
"E3-39","E3","39",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-39_1"
"E3-40","E3","40",2023-06-07,"Serena/Jerry",63,NA,NA,NA,NA,"","","","1","E3-40_1"
"E3-41","E3","41",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-41_1"
"E3-42","E3","42",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-42_1"
"E3-43","E3","43",2023-06-07,"Serena/Jerry",44,NA,NA,NA,NA,"","","","1","E3-43_1"
"E3-44","E3","44",2023-06-07,"Serena/Jerry",26,NA,NA,NA,NA,"","","","1","E3-44_1"
"E3-45","E3","45",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-45_1"
"E3-46","E3","46",2023-06-07,"Serena/Jerry",34,NA,NA,NA,NA,"","","","1","E3-46_1"
"E3-47","E3","47",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-47_1"
"E3-48","E3","48",2023-06-07,"Serena/Jerry",39,NA,NA,NA,NA,"","","","1","E3-48_1"
"E3-49","E3","49",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-49_1"
"E3-50","E3","50",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-50_1"
"E3-51","E3","51",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-51_1"
"E3-52","E3","52",2023-06-07,"Serena/Jerry",44,NA,NA,NA,NA,"","","","1","E3-52_1"
"E3-53","E3","53",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-53_1"
"E3-54","E3","54",2023-06-07,"Serena/Jerry",51,NA,NA,NA,NA,"","","","1","E3-54_1"
"E3-55","E3","55",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-55_1"
"E3-56","E3","56",2023-06-07,"Serena/Jerry",44,NA,NA,NA,NA,"","","","1","E3-56_1"
"E3-57","E3","57",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-57_1"
"E3-58","E3","58",2023-06-07,"Serena/Jerry",70,NA,NA,NA,NA,"","","","1","E3-58_1"
"E3-59","E3","59",2023-06-07,"Serena/Jerry",29,NA,NA,NA,NA,"","","","1","E3-59_1"
"E3-60","E3","60",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-60_1"
"E3-61","E3","61",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-61_1"
"E3-62","E3","62",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-62_1"
"E3-63","E3","63",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-63_1"
"E3-64","E3","64",2023-06-07,"Serena/Jerry",37,NA,NA,NA,NA,"","","","1","E3-64_1"
"E3-65","E3","65",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-65_1"
"E3-66","E3","66",2023-06-07,"Serena/Jerry",47,NA,NA,NA,NA,"","","","1","E3-66_1"
"E3-67","E3","67",2023-06-07,"Serena/Jerry",17,NA,NA,NA,NA,"","","","1","E3-67_1"
"E3-68","E3","68",2023-06-07,"Serena/Jerry",31,NA,NA,NA,NA,"","","","1","E3-68_1"
"E3-69","E3","69",2023-06-07,"Serena/Jerry",46,NA,NA,NA,NA,"","","","1","E3-69_1"
"E3-70","E3","70",2023-06-07,"Serena/Jerry",56,NA,NA,NA,NA,"","","","1","E3-70_1"
"E3-71","E3","71",2023-06-07,"Serena/Jerry",21,NA,NA,NA,NA,"","","","1","E3-71_1"
"E3-72","E3","72",2023-06-07,"Serena/Jerry",27,NA,NA,NA,NA,"","","","1","E3-72_1"
"E3-73","E3","73",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-73_1"
"E3-74","E3","74",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-74_1"
"E3-75","E3","75",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-75_1"
"E3-76","E3","76",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-76_1"
"E3-77","E3","77",2023-06-07,"Serena/Jerry",33,NA,NA,NA,NA,"","","","1","E3-77_1"
"E3-78","E3","78",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-78_1"
"E3-79","E3","79",2023-06-07,"Serena/Jerry",31,NA,NA,NA,NA,"","","","1","E3-79_1"
"E3-80","E3","80",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-80_1"
"E3-81","E3","81",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-81_1"
"E3-82","E3","82",2023-06-07,"Serena/Jerry",35,NA,NA,NA,NA,"","","","1","E3-82_1"
"E3-83","E3","83",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-83_1"
"E3-84","E3","84",2023-06-07,"Serena/Jerry",21,NA,NA,NA,NA,"","","","1","E3-84_1"
"E3-85","E3","85",2023-06-07,"Serena/Jerry",33,NA,NA,NA,NA,"","","","1","E3-85_1"
"E3-86","E3","86",2023-06-07,"Serena/Jerry",27,NA,NA,NA,NA,"","","","1","E3-86_1"
"E3-87","E3","87",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-87_1"
"E3-88","E3","88",2023-06-07,"Serena/Jerry",36,NA,NA,NA,NA,"","","","1","E3-88_1"
"E3-89","E3","89",2023-06-07,"Serena/Jerry",24,NA,NA,NA,NA,"","","","1","E3-89_1"
"E3-90","E3","90",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-90_1"
"E3-91","E3","91",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-91_1"
"E3-92","E3","92",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-92_1"
"E3-93","E3","93",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-93_1"
"E3-94","E3","94",2023-06-07,"Serena/Jerry",30,NA,NA,NA,NA,"","","","1","E3-94_1"
"E3-95","E3","95",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-95_1"
"E3-96","E3","96",2023-06-07,"Serena/Jerry",60,NA,NA,NA,NA,"","","","1","E3-96_1"
"E3-97","E3","97",2023-06-07,"Serena/Jerry",NA,NA,NA,NA,NA,"","","","1","E3-97_1"
"E3-98","E3","98",2023-06-07,"Serena/Jerry",42,NA,NA,NA,NA,"","","","1","E3-98_1"
"E3-99","E3","99",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-99_1"
"E3-100","E3","100",2023-06-07,"Serena/Jerry",45,NA,NA,NA,NA,"","","","1","E3-100_1"
"E3-101","E3","101",2023-06-07,"Serena/Jerry",38,NA,NA,NA,NA,"","","","1","E3-101_1"
"E3-102","E3","102",2023-06-07,"Serena/Jerry",61,NA,NA,NA,NA,"","","","1","E3-102_1"
"E3-103","E3","103",2023-06-07,"Serena/Jerry",57,NA,NA,NA,NA,"","","","1","E3-103_1"
"E3-104","E3","104",2023-06-07,"Serena/Jerry",40,NA,NA,NA,NA,"","","","1","E3-104_1"
"E3-105","E3","105",2023-06-07,"Serena/Jerry",43,NA,NA,NA,NA,"","","","1","E3-105_1"
"E3-106","E3","106",2023-06-07,"Serena/Jerry",41,NA,NA,NA,NA,"","","","1","E3-106_1"
"E3-107","E3","107",2023-06-07,"Serena/Jerry",25,NA,NA,NA,NA,"","","","1","E3-107_1"
"E3-108","E3","108",2023-06-07,"Serena/Jerry",48,NA,NA,NA,NA,"","","","1","E3-108_1"
