Block,Pos,Date,Weight (g),Measured_by,Entered_by,Missing,Notes
E3,1,2023-01-13,83.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,2,2023-01-13,66.85,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,3,2023-01-13,49.7,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,4,2023-01-13,46.06,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,5,2023-01-13,45.22,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,6,2023-01-13,33.86,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,7,2023-01-13,41.33,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,8,2023-01-13,88.67,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,9,2023-01-13,40.28,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,10,2023-01-13,63.42,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,11,2023-01-13,36.9,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,12,2023-01-13,32.37,Olivia Bain and Charles Last,Charles Last and Olivia Bain,1,
E3,13,2023-01-13,54.99,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,14,2023-01-13,47.32,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,15,2023-01-13,58.31,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,16,2023-01-13,52.58,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,17,2023-01-13,43.71,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,18,2023-01-13,72.43,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,19,2023-01-13,41.95,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,20,2023-01-13,57.25,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,21,2023-01-13,36.76,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,22,2023-01-13,42.64,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,23,2023-01-13,62.34,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,24,2023-01-13,37.25,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,25,2023-01-13,65.96,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,26,2023-01-13,37.97,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,27,2023-01-13,35.65,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,28,2023-01-13,106.38,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,29,2023-01-13,38.82,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,30,2023-01-13,46.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,31,2023-01-13,37.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,32,2023-01-13,43.51,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
