"ind","block","individual","date","surveyor","stem_length","bud_length","flower_length","fruit_length","note","stem_switch","cdate","round"
"E1-1","E1",1,2018-06-20,"N/A",51,NA,NA,NA,"","","2018-06-20","1"
"E1-2","E1",2,2018-06-20,"N/A",71,77.5,NA,NA,"","","2018-06-20","1"
"E1-3","E1",3,2018-06-20,"N/A",72,NA,NA,NA,"","","2018-06-20","1"
"E1-4","E1",4,2018-06-20,"N/A",85,NA,NA,NA,"","","2018-06-20","1"
"E1-5","E1",5,2018-06-20,"N/A",74,74.5,NA,NA,"","","2018-06-20","1"
"E1-6","E1",6,2018-06-20,"N/A",105,NA,NA,NA,"","","2018-06-20","1"
"E1-7","E1",7,2018-06-20,"N/A",65,66.5,NA,NA,"","","2018-06-20","1"
"E1-8","E1",8,2018-06-20,"N/A",63,63.5,NA,NA,"","","2018-06-20","1"
"E1-9","E1",9,2018-06-20,"N/A",101,103.5,NA,NA,"","","2018-06-20","1"
"E1-10","E1",10,2018-06-20,"N/A",83.5,NA,NA,NA,"","","2018-06-20","1"
"E1-11","E1",11,2018-06-20,"N/A",73,NA,NA,NA,"","","2018-06-20","1"
"E1-12","E1",12,2018-06-20,"N/A",80,82,NA,NA,"","","2018-06-20","1"
"E1-13","E1",13,2018-06-20,"N/A",80,81.5,NA,NA,"","","2018-06-20","1"
"E1-14","E1",14,2018-06-20,"N/A",60,NA,NA,NA,"","","2018-06-20","1"
"E1-15","E1",15,2018-06-20,"N/A",75.5,NA,NA,NA,"","","2018-06-20","1"
"E1-16","E1",16,2018-06-20,"N/A",67.5,NA,NA,NA,"","","2018-06-20","1"
"E1-17","E1",17,2018-06-20,"N/A",86,NA,NA,NA,"","","2018-06-20","1"
"E1-18","E1",18,2018-06-20,"N/A",87.5,92.5,NA,NA,"","","2018-06-20","1"
"E1-19","E1",19,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-20","E1",20,2018-06-20,"N/A",91,99,NA,NA,"","","2018-06-20","1"
"E1-21","E1",21,2018-06-20,"N/A",91.5,NA,NA,NA,"","","2018-06-20","1"
"E1-22","E1",22,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-23","E1",23,2018-06-20,"N/A",73,82,76.5,NA,"","","2018-06-20","1"
"E1-24","E1",24,2018-06-20,"N/A",82,83,NA,NA,"","","2018-06-20","1"
"E1-25","E1",25,2018-06-20,"N/A",69,NA,NA,NA,"","","2018-06-20","1"
"E1-26","E1",26,2018-06-20,"N/A",94.5,NA,NA,NA,"","","2018-06-20","1"
"E1-27","E1",27,2018-06-20,"N/A",91,95,NA,NA,"","","2018-06-20","1"
"E1-28","E1",28,2018-06-20,"N/A",90,94.5,NA,NA,"","","2018-06-20","1"
"E1-29","E1",29,2018-06-20,"N/A",92,NA,NA,NA,"","","2018-06-20","1"
"E1-30","E1",30,2018-06-20,"N/A",78,NA,NA,NA,"","","2018-06-20","1"
"E1-31","E1",31,2018-06-20,"N/A",108,111,NA,NA,"","","2018-06-20","1"
"E1-32","E1",32,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-33","E1",33,2018-06-20,"N/A",69,NA,NA,NA,"","","2018-06-20","1"
"E1-34","E1",34,2018-06-20,"N/A",72.5,NA,NA,NA,"","","2018-06-20","1"
"E1-35","E1",35,2018-06-20,"N/A",84,NA,NA,NA,"","","2018-06-20","1"
"E1-36","E1",36,2018-06-20,"N/A",101,103.5,NA,NA,"","","2018-06-20","1"
"E1-37","E1",37,2018-06-20,"N/A",80,81,NA,NA,"","","2018-06-20","1"
"E1-38","E1",38,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-39","E1",39,2018-06-20,"N/A",62.5,75,NA,NA,"","","2018-06-20","1"
"E1-40","E1",40,2018-06-20,"N/A",91,91.5,NA,NA,"","","2018-06-20","1"
"E1-41","E1",41,2018-06-20,"N/A",90,99,NA,NA,"","","2018-06-20","1"
"E1-42","E1",42,2018-06-20,"N/A",67.5,NA,NA,NA,"","","2018-06-20","1"
"E1-43","E1",43,2018-06-20,"N/A",87,88,NA,NA,"","","2018-06-20","1"
"E1-44","E1",44,2018-06-20,"N/A",81,NA,NA,NA,"","","2018-06-20","1"
"E1-45","E1",45,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-46","E1",46,2018-06-20,"N/A",84,90.5,NA,NA,"","","2018-06-20","1"
"E1-47","E1",47,2018-06-20,"N/A",73,NA,NA,NA,"","","2018-06-20","1"
"E1-48","E1",48,2018-06-20,"N/A",78.5,NA,NA,NA,"","","2018-06-20","1"
"E1-49","E1",49,2018-06-20,"N/A",88,94,NA,NA,"","","2018-06-20","1"
"E1-50","E1",50,2018-06-20,"N/A",68,NA,NA,NA,"","","2018-06-20","1"
"E1-51","E1",51,2018-06-20,"N/A",86,NA,NA,NA,"","","2018-06-20","1"
"E1-52","E1",52,2018-06-20,"N/A",67,NA,NA,NA,"","","2018-06-20","1"
"E1-53","E1",53,2018-06-20,"N/A",84,87,NA,NA,"","","2018-06-20","1"
"E1-54","E1",54,2018-06-20,"N/A",80,NA,NA,NA,"","","2018-06-20","1"
"E1-55","E1",55,2018-06-20,"N/A",77.5,83,NA,NA,"","","2018-06-20","1"
"E1-56","E1",56,2018-06-20,"N/A",66,NA,NA,NA,"","","2018-06-20","1"
"E1-57","E1",57,2018-06-20,"N/A",87.5,NA,NA,NA,"","","2018-06-20","1"
"E1-58","E1",58,2018-06-20,"N/A",76,77,NA,NA,"","","2018-06-20","1"
"E1-59","E1",59,2018-06-20,"N/A",58,NA,NA,NA,"","","2018-06-20","1"
"E1-60","E1",60,2018-06-20,"N/A",111,112,NA,NA,"","","2018-06-20","1"
"E1-61","E1",61,2018-06-20,"N/A",86,NA,NA,NA,"","","2018-06-20","1"
"E1-62","E1",62,2018-06-20,"N/A",100,NA,NA,NA,"","","2018-06-20","1"
"E1-63","E1",63,2018-06-20,"N/A",NA,NA,NA,NA,"","","2018-06-20","1"
"E1-64","E1",64,2018-06-20,"N/A",73,74,NA,NA,"","","2018-06-20","1"
"E1-65","E1",65,2018-06-20,"N/A",84,NA,NA,NA,"","","2018-06-20","1"
"E1-66","E1",66,2018-06-20,"N/A",95,96.5,NA,NA,"","","2018-06-20","1"
"E1-67","E1",67,2018-06-20,"N/A",81,82.5,NA,NA,"","","2018-06-20","1"
"E1-68","E1",68,2018-06-20,"N/A",93,94.5,NA,NA,"","","2018-06-20","1"
"E1-69","E1",69,2018-06-20,"N/A",83.5,NA,NA,NA,"","","2018-06-20","1"
"E1-70","E1",70,2018-06-20,"N/A",104,109,NA,NA,"","","2018-06-20","1"
