"","Ind","Year"
"1","E1-63","2018"
"2","E11-69","2018"
"3","E11-96","2018"
"4","E7-114","2018"
"5","E7-120","2018"
"6","E7-143","2018"
"7","E7-155","2018"
"8","E7-183","2018"
"9","E5-104","2018"
"10","E5-106","2018"
"11","E5-135","2018"
"12","E5-146","2018"
"13","E5-190","2018"
"14","E5-195","2018"
"15","E6-2","2018"
"16","E6-4","2018"
"17","E6-10","2018"
"18","E6-55","2018"
"19","E6-64","2018"
"20","E6-103","2018"
"21","E3-155","2018"
"22","E9-66","2018"
"23","E1-63","2019"
"24","E2-66","2019"
"25","E2-96","2019"
"26","E2-187","2019"
"27","E3-91","2019"
"28","E3-155","2019"
"29","E5-104","2019"
"30","E5-106","2019"
"31","E5-110","2019"
"32","E5-135","2019"
"33","E5-146","2019"
"34","E5-190","2019"
"35","E5-195","2019"
"36","E6-2","2019"
"37","E6-4","2019"
"38","E6-10","2019"
"39","E6-55","2019"
"40","E6-64","2019"
"41","E6-74","2019"
"42","E6-103","2019"
"43","E7-43","2019"
"44","E7-114","2019"
"45","E7-120","2019"
"46","E7-143","2019"
"47","E7-155","2019"
"48","E7-183","2019"
"49","E7-186","2019"
"50","E9-66","2019"
"51","E11-69","2019"
"52","E12-45","2019"
"53","E1-63","2020"
"54","E2-66","2020"
"55","E2-96","2020"
"56","E3-155","2020"
"57","E5-104","2020"
"58","E5-106","2020"
"59","E5-110","2020"
"60","E5-135","2020"
"61","E5-146","2020"
"62","E5-190","2020"
"63","E5-195","2020"
"64","E6-2","2020"
"65","E6-4","2020"
"66","E6-10","2020"
"67","E6-55","2020"
"68","E6-64","2020"
"69","E6-74","2020"
"70","E6-103","2020"
"71","E7-114","2020"
"72","E7-120","2020"
"73","E7-143","2020"
"74","E7-155","2020"
"75","E7-183","2020"
"76","E8-60","2020"
"77","E5-30","2022"
"78","E5-104","2022"
"79","E5-106","2022"
"80","E5-110","2022"
"81","E5-135","2022"
"82","E5-146","2022"
"83","E5-169","2022"
"84","E5-190","2022"
"85","E5-195","2022"
"86","E9-37","2022"
"87","E9-39","2022"
"88","E9-45","2022"
"89","E9-46","2022"
"90","E9-79","2022"
"91","E9-133","2022"
"92","E9-134","2022"
"93","E9-135","2022"
"94","E9-137","2022"
"95","E9-139","2022"
"96","E9-142","2022"
"97","E9-148","2022"
"98","E9-159","2022"
"99","E3-91","2023"
"100","E4-76","2023"
"101","E4-77","2023"
"102","E4-186","2023"
"103","E4-189","2023"
"104","E5-7","2023"
"105","E5-65","2023"
"106","E5-77","2023"
"107","E5-81","2023"
"108","E5-89","2023"
"109","E5-94","2023"
"110","E5-106","2023"
"111","E5-110","2023"
"112","E5-146","2023"
"113","E5-166","2023"
"114","E5-169","2023"
"115","E5-190","2023"
"116","E5-195","2023"
"117","E9-15","2023"
"118","E9-58","2023"
"119","E9-66","2023"
"120","E9-72","2023"
"121","E9-75","2023"
"122","E9-76","2023"
"123","E9-79","2023"
"124","E9-119","2023"
"125","E9-133","2023"
"126","E9-134","2023"
"127","E9-135","2023"
"128","E9-137","2023"
"129","E9-139","2023"
"130","E9-157","2023"
"131","E9-159","2023"
