"","Ind","Treatment","LAT","POP","FAM","FT","FlwrVeg","PC1_avg","PC2_avg","PC1_skew","PC2_skew","PC1_var","PC2_var","Fit","Dam"
"1","E1-1","Sprayed",44.2915,"15","15-22",727.7,90,0.0488749244565318,-0.562309527978592,-0.705861905035312,0.571362231398914,0.0922855843612971,1.20740491333156,4.92686230769231,0
"2","E1-10","Sprayed",38.8235,"1","1-7",782.884444444444,130.333333333333,1.48585980162584,0.421186904314558,-0.197804593232925,0.0871849106608725,0.534263455361067,0.694465684289126,24.9239057859532,0
"3","E1-100","Sprayed",44.29771,"14","14-39",566.633333333333,111.5,0.0322055493004029,0.744616412964803,-0.703859641684201,0.232362104480068,0.106478406107756,0.647609703639179,118.153905785953,0.0833333333333333
"4","E1-101","Sprayed",41.57154,"6","6-36",634.466666666667,127.166666666667,0.781015548722038,0.935993368458475,0.699498749614011,-0.0115618255103509,0.00574012314561232,1.37808719845513,166.773905785953,0.090909090909091
"5","E1-102","Sprayed",45.76868,"18","18-19",579.033333333333,130.333333333333,0.648267575275404,1.25877913066438,-0.096547864802532,-0.662704270607205,0.651749592962695,0.842857015121657,55.4539057859532,0.0952380952380953
"6","E1-103","Sprayed",48.10384,"20","20-5",802.351111111111,149.833333333333,2.15096162976617,0.926317775377123,-0.161539192777194,0.67024962158452,0.00752872323178785,0.0113567347902736,108.763905785953,0.268398268398268
"7","E1-104","Sprayed",38.7966,"2","2-77",727.7,138.166666666667,1.49416231791592,0.882977865481856,-0.696189735791065,0.624772086270864,0.0531281737008556,1.09230098076917,51.8239057859532,0.0416666666666667
"8","E1-105","Sprayed",44.29771,"14","14-70",542.333333333333,115.333333333333,0.0473835347061753,0.959484171846696,-0.7044849763266,-0.460702328340223,0.0290868914230594,0.426606110607209,37.9339057859532,0.25
"9","E1-106","Sprayed",45.76868,"18","18-22",677.633333333333,106,0.323254314142269,0.123502015014775,0.560555373789253,-0.634655162790668,0.0673694835456575,1.85102779792527,1.94704347826087,0
"10","E1-107","Sprayed",43.28958,"11","11-37",691.333333333333,119.5,0.784626014002451,0.472291414602756,0.245438772305738,0.696635892721949,0.274403065605036,0.370223904601928,59.4239057859532,0
"11","E1-108","Sprayed",38.8235,"1","1-64",696.417777777778,121.5,0.865529131643915,0.511412163546214,0.236912221469175,-0.704464355804609,0.0427793149111594,0.460223810977698,44.1139057859532,0.166666666666667
"12","E1-109","Sprayed",41.57154,"6","6-20",671.166666666667,116.666666666667,0.616747439812764,0.470136177797097,-0.623704739971842,-0.698662571753621,0.148131109416692,1.47786922698466,32.8939057859532,0.166666666666667
"13","E1-11","Sprayed",44.75284,"16","16-9",579.033333333333,90.3333333333333,-0.551971090573227,0.0585404648148719,-0.279282119181236,-0.648221618994733,0.216837963248089,0.39901920328678,32.7839057859532,0.25
"14","E1-110","Sprayed",48.10384,"20","20-41",677.633333333333,112.5,0.518293097342672,0.31854079821532,-0.700828171372503,-0.703571483766,0.0643260172794282,2.13903458207102,29.9139057859532,0.0666666666666667
"15","E1-111","Sprayed",41.97527,"8","8-13",610.5,102.5,-0.0576069009307927,0.294321463564049,-0.706617547652802,-0.360968950776786,0.153205980593036,0.148138769472846,52.8739057859532,0
"16","E1-112","Sprayed",48.10384,"20","20-23",664.951111111111,110.166666666667,0.396169914206661,0.300636137002235,0.146860755441455,0.121493594190095,0.000454943179363077,1.05715435541549,27.2239057859532,0.111111111111111
"17","E1-113","Sprayed",43.28958,"11","11-26",634.8,127.833333333333,0.802389140844728,0.954627731864088,-0.70081676295622,-0.66677058141791,0.319776179768018,0.787291132774813,65.4639057859532,0
"18","E1-114","Sprayed",45.02376,"17","17-13",783.751111111111,90.3333333333333,0.289182133109427,-0.782612758867168,0.693915399941879,0.302168469030654,0.00980186795708336,1.31386392402888,5.24973578595317,0.166666666666666
"19","E1-115","Sprayed",41.97527,"8","8-63",752.951111111111,180.666666666667,2.8731687534212,2.05447859490592,-0.707105947864974,-0.151884572225359,0.641107021947313,1.36937060424149,28.8639057859532,0
"20","E1-116","Sprayed",42.79109,"9","9-54",603.333333333333,100.833333333333,-0.137063554049906,0.273758227862386,0.672489950265251,-0.614118144081533,0.255378458836005,0.723098894856331,15.1539057859532,0
"21","E1-117","Sprayed",38.8235,"1","1-25",752.951111111111,123,1.14282467682276,0.324134518306219,-0.669839366130824,0.669008206681447,0.0180938128750945,0.425160594812551,34.9239057859532,0
"22","E1-118","Sprayed",45.02376,"17","17-74",598.1,104,-0.0635476050994064,0.390280067671306,-0.576355714303559,0.140930748037248,0.177740048004434,1.42200545115065,44.2239057859532,0
"23","E1-119","Sprayed",44.75284,"16","16-28",863.084444444444,93.8333333333333,0.720171233705298,-1.00356009293921,0.618177071156046,-0.529382109381583,0.240896461221388,0.614288138901396,10.7039057859532,0
"24","E1-12","Sprayed",44.2915,"15","15-42",518.7,100.166666666667,-0.504812617449059,0.601499335732982,-0.470759309043414,-0.629197191413191,0.0396465931617783,0.340498383331969,19.7139057859532,0
"25","E1-120","Sprayed",46.75552,"22","22-46",603.333333333333,110.166666666667,0.142992134648107,0.553813916560604,-0.656862011863382,-0.548971700007745,0.149574397357133,0.900031241050786,15.1139057859532,0
