"Ind","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","Year","FVeg","FT","BT","FertT","FlwrVeg","Weight","PropDam","OH","StemTotal"
"E1-1",15,"15-22",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",86,211,179,218,86.5,NA,0,NA,4
"E1-10",1,"1-7",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",128,211,190,218,131,5.41704347826087,0,NA,2
"E1-100",14,"14-39",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",113.5,190,179,211,103.5,60.0770434782609,0.25,NA,8
"E1-101",6,"6-36",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",133,197,179,211,126.5,68.0470434782609,0.272727272727273,NA,11
"E1-102",18,"18-19",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",140,190,179,211,138,31.2670434782609,0.285714285714286,NA,7
"E1-103",20,"20-5",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",154,211,190,211,147.5,36.1370434782609,0.0909090909090909,NA,11
"E1-104",2,"2-77",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",133,211,197,218,133.5,10.8270434782609,0.125,NA,8
"E1-105",14,"14-70",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",124,190,171,211,120,12.5970434782609,0.25,NA,4
"E1-106",18,"18-22",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",123.5,190,179,211,119,1.94704347826087,0,NA,4
"E1-107",11,"11-37",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",120,211,179,211,123.5,17.9270434782609,0,NA,9
"E1-108",1,"1-64",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",128.5,197,179,211,124.5,19.7870434782609,0,NA,3
"E1-109",6,"6-20",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",136,197,179,211,132,16.6070434782609,0,NA,3
"E1-11",16,"16-9",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",105,190,179,211,99,17.3870434782609,0.75,NA,4
"E1-110",20,"20-41",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",125,190,179,211,122.5,17.2570434782609,0.2,NA,5
"E1-111",8,"8-13",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",108,197,179,211,107.5,18.6970434782609,0,NA,7
"E1-112",20,"20-23",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",130,190,171,211,127.5,10.7370434782609,0,NA,5
"E1-113",11,"11-26",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",139.5,197,179,211,140.5,28.9070434782609,0,NA,7
"E1-114",17,"17-13",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",107.5,197,179,218,110,4.12704347826087,0.333333333333333,NA,3
"E1-115",8,"8-63",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",186,211,190,211,190,7.55704347826087,0,NA,2
"E1-116",9,"9-54",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",106,190,179,211,102.5,4.53704347826087,0,NA,6
"E1-117",1,"1-25",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",117.5,211,184,211,119,8.64704347826087,0,NA,4
"E1-118",17,"17-74",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",108,197,179,211,105,23.5670434782609,0,NA,7
"E1-119",16,"16-28",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",89,230,211,230,88.5,0.747043478260871,0,NA,3
"E1-12",15,"15-42",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",101,184,171,211,100.5,6.70704347826087,0,NA,6
"E1-120",22,"22-46",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",126.5,190,179,211,125.5,9.23704347826087,0,NA,3
"E1-121",20,"20-9",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",109.5,190,179,211,108.5,2.50704347826087,0.5,NA,4
"E1-122",22,"22-64",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",85,190,179,211,85.5,1.72704347826087,0.2,NA,5
"E1-123",11,"11-41",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",111,218,211,230,113.5,10.9270434782609,0.25,NA,8
"E1-124",8,"8-36",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",133.5,211,190,218,111,1.66704347826087,0.4,NA,5
"E1-125",4,"4-26",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",142,197,179,211,144.5,9.23704347826087,0.166666666666667,NA,6
"E1-126",4,"4-66",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",94.5,218,197,230,95,8.02704347826087,0,NA,9
"E1-127",19,"19-53",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",71.5,190,179,211,70,6.77704347826087,0,NA,3
"E1-128",15,"15-7",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",72,179,171,211,71,14.9870434782609,0.142857142857143,NA,7
"E1-129",3,"3-34",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",101,211,190,218,101,1.87704347826087,0.333333333333333,NA,3
"E1-13",9,"9-49",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",90,184,171,211,86.5,12.9570434782609,0,NA,7
"E1-130",16,"16-13",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",116,190,179,218,113,6.89704347826087,0,NA,5
"E1-131",19,"19-31",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",77.5,190,171,211,76,6.78704347826087,0,NA,6
"E1-132",10,"10-29",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",120,211,190,218,120.5,2.59704347826087,0,NA,2
"E1-133",14,"14-79",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",108,190,171,211,104.5,2.91704347826087,0.4,NA,5
"E1-134",10,"10-72",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",123,190,179,211,123.5,8.68704347826087,0.166666666666667,NA,6
"E1-135",9,"9-36",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",121.5,190,179,211,119.5,6.53704347826087,0,NA,5
"E1-136",13,"13-26",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",110,184,171,211,111,9.33704347826087,0,NA,8
"E1-137",19,"19-59",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",72,179,171,211,71.5,2.68704347826087,0.333333333333333,NA,3
"E1-138",6,"6-55",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",109,211,184,211,110,15.6970434782609,0,NA,5
"E1-139",12,"12-52",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",97,190,171,211,95.5,9.88704347826087,0,NA,5
"E1-14",20,"20-43",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",104.5,211,197,218,105,NA,0,NA,1
"E1-140",4,"4-65",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",119.5,197,179,211,113.5,13.7870434782609,0.1,NA,10
"E1-141",11,"11-46",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",142,211,190,218,145.5,10.4270434782609,0.6,NA,5
"E1-142",22,"22-32",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",110,184,171,211,111,12.0670434782609,0,NA,3
"E1-143",10,"10-7",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",128,197,179,211,128,11.1170434782609,0.25,NA,4
"E1-144",4,"4-73",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",135.5,190,171,211,133.5,14.3070434782609,0,NA,4
"E1-145",4,"4-48",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",152,197,179,211,152,18.2370434782609,0.25,NA,4
"E1-146",6,"6-56",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",112,190,179,211,117,9.33704347826087,0,NA,4
"E1-147",8,"8-58",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",91,197,184,211,89.5,2.00704347826087,0,NA,3
"E1-148",8,"8-32",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",125,190,179,211,124,22.5670434782609,0.142857142857143,NA,7
"E1-149",10,"10-30",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",139,197,179,211,138,15.1370434782609,0,NA,5
"E1-15",1,"1-47",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",105.5,190,179,211,102.5,7.36704347826087,0.5,NA,2
"E1-150",5,"5-14",41.42692,-75.63466896,"PASC","E1","Sprayed","2018",118,211,190,211,119,1.12704347826087,0.25,NA,4
"E1-151",12,"12-36",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",121,211,184,211,115,3.34704347826087,0.2,NA,5
