"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-1",86,"2018",15,"15-22",44.2915,-79.04909003,"ONBV","E1","Sprayed",211,179,218,797.4,1294.1,386,722.7,895.6,1427.3,86.5,86.5,86.5,NA,0,NA,4
"E1-10",128,"2018",1,"1-7",38.8235,-77.71118397,"VABR","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,131,131,131,5.41704347826087,0,NA,2
"E1-100",113.5,"2018",14,"14-39",44.29771,-78.300041,"ONPB","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,103.5,103.5,103.5,60.0770434782609,0.25,NA,8
"E1-101",133,"2018",6,"6-36",41.57154,-74.48428896,"NYWU","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,126.5,126.5,126.5,68.0470434782609,0.272727272727273,NA,11
"E1-102",140,"2018",18,"18-19",45.76868,-79.39777502,"ONSU","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,138,138,138,31.2670434782609,0.285714285714286,NA,7
"E1-103",154,"2018",20,"20-5",48.10384,-80.19977597,"ONKE","E1","Sprayed",211,190,211,797.4,1294.1,533.4,925.1,797.4,1294.1,147.5,147.5,147.5,36.1370434782609,0.0909090909090909,NA,11
"E1-104",133,"2018",2,"2-77",38.7966,-77.29988901,"VAFF","E1","Sprayed",211,197,218,797.4,1294.1,627.8,1054.5,895.6,1427.3,133.5,133.5,133.5,10.8270434782609,0.125,NA,8
"E1-105",124,"2018",14,"14-70",44.29771,-78.300041,"ONPB","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,120,120,120,12.5970434782609,0.25,NA,4
"E1-106",123.5,"2018",18,"18-22",45.76868,-79.39777502,"ONSU","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,119,119,119,1.94704347826087,0,NA,4
"E1-107",120,"2018",11,"11-37",43.28958,-76.128568,"NYWM","E1","Sprayed",211,179,211,797.4,1294.1,386,722.7,797.4,1294.1,123.5,123.5,123.5,17.9270434782609,0,NA,9
"E1-108",128.5,"2018",1,"1-64",38.8235,-77.71118397,"VABR","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,124.5,124.5,124.5,19.7870434782609,0,NA,3
"E1-109",136,"2018",6,"6-20",41.57154,-74.48428896,"NYWU","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,132,132,132,16.6070434782609,0,NA,3
"E1-11",105,"2018",16,"16-9",44.75284,-79.33799797,"ONWA","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,99,99,99,17.3870434782609,0.75,NA,4
