Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,Bag
E1,1,,Maya,Aug/3/21,Maya ,0,0
E1,2,27.35,Maya,Aug/3/21,Maya ,0,0
E1,3,29.92,Maya,Aug/3/21,Maya ,0,0
E1,4,46.22,Maya,Aug/3/21,Maya ,0,0
E1,5,38.08,Maya,Aug/3/21,Maya ,0,0
E1,6,29.88,Maya,Aug/3/21,Maya ,0,0
E1,7,33.69,Maya,Aug/3/21,Maya ,0,0
E1,8,27.65,Maya,Aug/3/21,Maya ,0,0
E1,9,29.95,Maya,Aug/3/21,Maya ,0,0
E1,10,29.1,Maya,Aug/3/21,Maya ,0,0
E1,11,41.07,Maya,Aug/3/21,Maya ,0,0
E1,12,30.39,Maya,Aug/3/21,Maya ,0,0
E1,13,36.64,Maya,Aug/3/21,Maya ,0,0
E1,14,23.13,Maya,Aug/3/21,Maya ,1,0
E1,15,31.05,Maya,Aug/3/21,Maya ,0,0
E1,16,30.76,Maya,Aug/3/21,Maya ,0,0
E1,17,31.41,Maya,Aug/3/21,Maya ,0,0
E1,18,42.9,Maya,Aug/3/21,Maya ,0,0
E1,19,27.94,Maya,Aug/3/21,Maya ,0,0
E1,20,28.05,Maya,Aug/3/21,Maya ,0,0
E1,21,34.68,Maya,Aug/3/21,Maya ,0,0
E1,22,29.81,Maya,Aug/3/21,Maya ,0,0
E1,23,43.32,Maya,Aug/3/21,Maya ,0,0
E1,24,32.12,Maya,Aug/3/21,Maya ,0,0
E1,25,29.85,Maya,Aug/3/21,Maya ,0,0
E1,26,41.89,Maya,Aug/3/21,Maya ,0,0
E1,27,31.36,Maya,Aug/3/21,Maya ,0,0
E1,28,38.78,Maya,Aug/3/21,Maya ,0,0
E1,29,29.2,Maya,Aug/3/21,Maya ,0,0
E1,30,30.45,Maya,Aug/3/21,Maya ,0,0
E1,31,29.61,Maya,Aug/3/21,Maya ,0,0
E1,32,31.44,Maya,Aug/3/21,Maya ,0,0
E1,33,31.31,Maya,Aug/3/21,Maya ,0,0
E1,34,28.29,Maya,Aug/3/21,Maya ,0,0
E1,35,31.37,Maya,Aug/3/21,Maya ,0,0
E1,36,34.8,Maya,Aug/3/21,Maya ,0,0
E1,37,35.33,Maya,Aug/3/21,Maya ,0,0
E1,38,39.4,Maya,Aug/3/21,Maya ,0,0
E1,39,29.2,Maya,Aug/3/21,Maya ,0,0
E1,40,33.51,Maya,Aug/3/21,Maya ,0,0
E1,41,46.1,Maya,Aug/3/21,Maya ,0,0
E1,42,27.3,Maya,Aug/3/21,Maya ,0,0
E1,43,41,Maya,Aug/3/21,Maya ,0,0
E1,44,25.43,Maya,Aug/3/21,Maya ,0,0
E1,45,35.2,Maya,Aug/3/21,Maya ,0,0
E1,46,31.92,Maya,Aug/3/21,Maya ,0,0
