Block,Pos,Date,Measurer,Egg,Larv,Adt,Wvl,OH,U,D
E1,1,18-Jun,Darcey,,,,2,,3,0
E1,2,18-Jun,Darcey,,,,1,,6,1
E1,3,18-Jun,Darcey,,,,2,,2,0
E1,4,18-Jun,Darcey,,,,1,,3,0
E1,5,18-Jun,Darcey,,,,2,,3,0
E1,6,18-Jun,Darcey,,,,2,,2,0
E1,7,18-Jun,Darcey,,,,0,,4,0
E1,8,18-Jun,Darcey,,,,0,,2,0
E1,9,18-Jun,Darcey,,,,2,,3,0
E1,10,18-Jun,Darcey,,,,1,,2,0
E1,11,18-Jun,Darcey,,,,1,,4,1
E1,12,18-Jun,Darcey,,,,3,,3,0
E1,13,18-Jun,Darcey,,,,1,,2,1
E1,14,18-Jun,Darcey,,,,1,,3,0
E1,15,18-Jun,Darcey,,,,1,,4,0
E1,16,18-Jun,Darcey,,,,1,,2,0
E1,17,18-Jun,Darcey,,,,0,,3,0
E1,18,18-Jun,Darcey,,,,1,,3,0
E1,19,18-Jun,Darcey,,,,1,,6,0
E1,20,18-Jun,Darcey,,,,1,,4,1
E1,21,18-Jun,Darcey,,,,2,,3,0
E1,22,18-Jun,Darcey,,YES,,1,,4,1
E1,23,18-Jun,Darcey,,,,2,,4,0
E1,24,18-Jun,Darcey,,,,0,,6,0
E1,25,18-Jun,Darcey,,,,1,,5,0
E1,26,18-Jun,Darcey,,,,1,,6,0
E1,27,18-Jun,Darcey,,,,1,,3,0
E1,28,18-Jun,Darcey,,,,2,,1,1
E1,29,18-Jun,Darcey,,,,0,,3,0
E1,30,18-Jun,Darcey,,,,1,,1,0
E1,31,18-Jun,Darcey,,,,0,,3,0
E1,32,18-Jun,Darcey,,,,1,,3,0
E1,33,18-Jun,Darcey,,,,1,,3,2
E1,34,18-Jun,Darcey,,,,1,,3,0
E1,35,18-Jun,Darcey,,,,1,,6,0
E1,36,18-Jun,Darcey,,,,1,,1,2
E1,37,18-Jun,Darcey,,,,0,,4,0
E1,38,18-Jun,Darcey,,,,1,,1,0
E1,39,18-Jun,Darcey,,,,1,,2,0
E1,40,18-Jun,Darcey,,,,1,,4,0
E1,41,18-Jun,Darcey,,,,1,,5,0
