Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,Bag
M1,1,,,,,,
M1,2,,,,,,
M1,3,,,,,,
M1,4,,,,,,
M1,5,,,,,,
M1,6,,,,,,
M1,7,,,,,,
M1,8,,,,,,
M1,9,,,,,,
M1,10,,,,,,
M1,11,,,,,,
M1,12,,,,,,
M1,13,,,,,,
M1,14,,,,,,
M1,15,,,,,,
M1,16,,,,,,
M1,17,,,,,,
M1,18,,,,,,
M1,19,,,,,,
M1,20,,,,,,
M1,21,,,,,,
M1,22,,,,,,
M1,23,,,,,,
M1,24,,,,,,
M1,25,,,,,,
M1,26,,,,,,
M1,27,,,,,,
M1,28,,,,,,
M1,29,,,,,,
M1,30,,,,,,
M1,31,,,,,,
M1,32,,,,,,
M1,33,,,,,,
M1,34,,,,,,
M1,35,,,,,,
M1,36,,,,,,
M1,37,,,,,,
M1,38,,,,,,
M1,39,,,,,,
M1,40,,,,,,
M1,41,,,,,,
M1,42,,,,,,
M1,43,,,,,,
M1,44,,,,,,
M1,45,,,,,,
M1,46,,,,,,
M1,47,,,,,,
M1,48,,,,,,
M1,49,,,,,,
M1,50,,,,,,
M1,51,,,,,,
M1,52,,,,,,
M1,53,,,,,,
M1,54,,,,,,
M1,55,,,,,,
M1,56,,,,,,
M1,57,,,,,,
M1,58,,,,,,
M1,59,,,,,,
M1,60,,,,,,
M1,61,,,,,,
M1,62,,,,,,
M1,63,,,,,,
M1,64,,,,,,
M1,65,,,,,,
M1,66,,,,,,
M1,67,,,,,,
M1,68,,,,,,
M1,69,,,,,,
M1,70,,,,,,
M1,71,,,,,,
M1,72,,,,,,
M1,73,,,,,,
M1,74,,,,,,
M1,75,,,,,,
M1,76,,,,,,
M1,77,,,,,,
M1,78,,,,,,
M1,79,,,,,,
M1,80,,,,,,
M1,81,,,,,,
M1,82,,,,,,
M1,83,,,,,,
M1,84,,,,,,
M1,85,,,,,,
M1,86,,,,,,
M1,87,,,,,,
M1,88,,,,,,
M1,89,,,,,,
M1,90,,,,,,
M1,91,,,,,,
M1,92,,,,,,
M1,93,,,,,,
M1,94,,,,,,
M1,95,,,,,,
M1,96,,,,,,
M1,97,,,,,,
M1,98,,,,,,
M1,99,,,,,,
M1,100,,,,,,
M1,101,,,,,,
M2,1,,,,,,
M2,2,,,,,,
M2,3,,,,,,
M2,4,,,,,,
M2,5,,,,,,
M2,6,,,,,,
M2,7,,,,,,
M2,8,,,,,,
M2,9,,,,,,
M2,10,,,,,,
M2,11,,,,,,
M2,12,,,,,,
M2,13,,,,,,
M2,14,,,,,,
M2,15,,,,,,
M2,16,,,,,,
M2,17,,,,,,
M2,18,,,,,,
M2,19,,,,,,
M2,20,,,,,,
M2,21,,,,,,
M2,22,,,,,,
M2,23,,,,,,
M2,24,,,,,,
M2,25,,,,,,
M2,26,,,,,,
M2,27,,,,,,
M2,28,,,,,,
M2,29,,,,,,
M2,30,,,,,,
M2,31,,,,,,
M2,32,,,,,,
M2,33,,,,,,
M2,34,,,,,,
M2,35,,,,,,
M2,36,,,,,,
M2,37,,,,,,
M2,38,,,,,,
M2,39,,,,,,
M2,40,,,,,,
M2,41,,,,,,
M2,42,,,,,,
M2,43,,,,,,
M2,44,,,,,,
M2,45,,,,,,
M2,46,,,,,,
M2,47,,,,,,
M2,48,,,,,,
M2,49,,,,,,
M2,50,,,,,,
M2,51,,,,,,
M2,52,,,,,,
M2,53,,,,,,
M2,54,,,,,,
M2,55,,,,,,
M2,56,,,,,,
M2,57,,,,,,
M2,58,,,,,,
M2,59,,,,,,
M2,60,,,,,,
M2,61,,,,,,
