Block,Pos,Date,Measurer,Veg,Bud,Flr,Fert,Abt,M,S,N,
E3,1,02-Jun,Maya,18,,,,,,,,
E3,2,02-Jun,Maya,19,,,,,,,,
E3,3,02-Jun,Maya,20,,,,,,,,
E3,4,02-Jun,Maya,13,,,,,,,,
E3,5,02-Jun,Maya,18,,,,,,,,
E3,6,02-Jun,Maya,14,,,,,,,,
E3,7,02-Jun,Maya,17,,,,,,,,
E3,8,02-Jun,Maya,13,,,,,,,,
E3,9,02-Jun,Maya,6,,,,,,,,
E3,10,02-Jun,Maya,18,,,,,,,,
E3,11,02-Jun,Maya,4,,,,,,,,
E3,12,02-Jun,Maya,3,,,,,,,,
E3,13,02-Jun,Maya,16,,,,,,,,
E3,14,02-Jun,Maya,11,,,,,,,,
E3,15,02-Jun,Maya,9,,,,,,,,
E3,16,02-Jun,Maya,5,,,,,,,,
E3,17,02-Jun,Maya,12,,,,,,,,
E3,18,02-Jun,Maya,20,,,,,,,,
E3,19,02-Jun,Maya,15,,,,,,,,
E3,20,02-Jun,Maya,16,,,,,,,,
E3,21,02-Jun,Maya,15,,,,,,,,
E3,22,02-Jun,Maya,7,,,,,,,,
E3,23,02-Jun,Maya,24.5,,,,,,,,
E3,24,02-Jun,Maya,13,,,,,,,,
E3,25,02-Jun,Maya,26,,,,,,,,
E3,26,02-Jun,Maya,15.5,,,,,,,,
E3,27,02-Jun,Maya,15,,,,,,,,
E3,28,02-Jun,Maya,19,,,,,,,,
E3,29,02-Jun,Maya,19,,,,,,,,
E3,30,02-Jun,Maya,13,,,,,,,,
E3,31,02-Jun,Maya,18,,,,,,,,
E3,32,02-Jun,Maya,13,,,,,,,,
E3,33,02-Jun,Maya,18,,,,,,,,
E3,34,02-Jun,Maya,10,,,,,,,,
E3,35,02-Jun,Maya,14,,,,,,,,
E3,36,02-Jun,Maya,17,,,,,,,,
E3,37,02-Jun,Maya,16,,,,,,,,
E3,38,02-Jun,Maya,17,,,,,,,,
E3,39,02-Jun,Maya,18.5,,,,,,,,
E3,40,02-Jun,Maya,13,,,,,,,,
E3,41,02-Jun,Maya,18,,,,,,,,
E3,42,02-Jun,Maya,16,,,,,,,,
E3,43,02-Jun,Maya,21,,,,,,,,
E3,44,02-Jun,Maya,23,,,,,,,,
E3,45,02-Jun,Maya,22,,,,,,,,
E3,46,02-Jun,Maya,8,,,,,,,,
E3,47,02-Jun,Maya,14,,,,,,,,
E3,48,02-Jun,Maya,12,,,,,,,,
E3,49,02-Jun,Maya,8,,,,,,,,
E3,50,02-Jun,Maya,13,,,,,,,,
E3,51,02-Jun,Maya,10,,,,,,,,
E3,52,02-Jun,Maya,15,,,,,,,,
E3,53,02-Jun,Maya,34,,,,,,,,
E3,54,02-Jun,Maya,11,,,,,,,,
E3,55,02-Jun,Maya,17,,,,,,,,
E3,56,02-Jun,Maya,11,,,,,,,,
E3,57,02-Jun,Maya,12,,,,,,,,
E3,58,02-Jun,Maya,16,,,,,,,,
E3,59,02-Jun,Maya,8,,,,,,,,
E3,60,02-Jun,Maya,11,,,,,,,,
E3,61,02-Jun,Maya,11,,,,,,,,
E3,62,02-Jun,Maya,15,,,,,,,,
E3,63,02-Jun,Maya,21,,,,,,,,
E3,64,02-Jun,Maya,14,,,,,,,,
E3,65,02-Jun,Maya,12,,,,,,,,
E3,66,02-Jun,Maya,18,,,,,,,,
E3,67,02-Jun,Maya,NA,,,,,,,,
E3,68,02-Jun,Maya,17,,,,,,,,
E3,69,02-Jun,Maya,11,,,,,,,,
E3,70,02-Jun,Maya,NA,,,,,,,,
E3,71,02-Jun,Maya,10,,,,,,,,
E3,72,02-Jun,Maya,12,,,,,,,,
E3,73,02-Jun,Maya,30,,,,,,,,
E3,74,02-Jun,Maya,10,,,,,,,,
E3,75,02-Jun,Maya,21,,,,,,,,
