BLK,POS,Date,Measurer,VEG,BUDS,FLOWERS,FRUITS,ABT,M,S,N
E3,1,2022-05-13,Logan ,13,,,,,,,
E3,2,2022-05-13,Logan ,7,,,,,,,
E3,3,2022-05-13,Logan ,12,,,,,,,
E3,4,2022-05-13,Logan ,7,,,,,,,
E3,5,2022-05-13,Logan ,9,,,,,,,
E3,6,2022-05-13,Logan ,,,,,,,,
E3,7,2022-05-13,Logan ,,,,,,,,
E3,8,2022-05-13,Logan ,9,,,,,,,
E3,9,2022-05-13,Logan ,5,,,,,,,
E3,10,2022-05-13,Logan ,8,,,,,,,
E3,11,2022-05-13,Logan ,,,,,,,,
E3,12,2022-05-13,Logan ,6,,,,,,,
E3,13,2022-05-13,Logan ,6,,,,,,,
E3,14,2022-05-13,Logan ,5,,,,,,,
E3,15,2022-05-13,Logan ,7,,,,,,,
E3,16,2022-05-13,Logan ,6,,,,,,,
E3,17,2022-05-13,Logan ,10,,,,,,,
E3,18,2022-05-13,Logan ,10,,,,,,,
E3,19,2022-05-13,Logan ,6,,,,,,,
E3,20,2022-05-13,Logan ,7,,,,,,,
E3,21,2022-05-13,Logan ,10,,,,,,,
E3,22,2022-05-13,Logan ,6,,,,,,,
E3,23,2022-05-13,Logan ,10,,,,,,,
E3,24,2022-05-13,Logan ,6,,,,,,,
E3,25,2022-05-13,Logan ,9,,,,,,,
E3,26,2022-05-13,Logan ,9,,,,,,,
E3,27,2022-05-13,Logan ,6,,,,,,,
E3,28,2022-05-13,Logan ,13,,,,,,,
E3,29,2022-05-13,Logan ,7,,,,,,,
E3,30,2022-05-13,Logan ,8,,,,,,,
E3,31,2022-05-13,Logan ,7,,,,,,,
E3,32,2022-05-13,Logan ,8,,,,,,,
E3,33,2022-05-13,Logan ,10,,,,,,,
E3,34,2022-05-13,Logan ,6,,,,,,,
E3,35,2022-05-13,Logan ,8,,,,,,,
E3,36,2022-05-13,Logan ,10,,,,,,,
E3,37,2022-05-13,Logan ,,,,,,,,
E3,38,2022-05-13,Logan ,9,,,,,,,
E3,39,2022-05-13,Logan ,7,,,,,,,
E3,40,2022-05-13,Logan ,19,,,,,,,
E3,41,2022-05-13,Logan ,8,,,,,,,
E3,42,2022-05-13,Logan ,10,,,,,,,
E3,43,2022-05-13,Logan ,15,,,,,,,
E3,44,2022-05-13,Logan ,5,,,,,,,
E3,45,2022-05-13,Logan ,12,,,,,,,
E3,46,2022-05-13,Logan ,8,,,,,,,
E3,47,2022-05-13,Logan ,5,,,,,,,
E3,48,2022-05-13,Logan ,9,,,,,,,
E3,49,2022-05-13,Logan ,9,,,,,,,
E3,50,2022-05-13,Logan ,3,,,,,,,
E3,51,2022-05-13,Logan ,9,,,,,,,
E3,52,2022-05-13,Logan ,11,,,,,,,
E3,53,2022-05-13,Logan ,10,,,,,,,
E3,54,2022-05-13,Logan ,4,,,,,,,
E3,55,2022-05-13,Logan ,10,,,,,,,
E3,56,2022-05-13,Logan ,7,,,,,,,
E3,57,2022-05-13,Logan ,5,,,,,,,
E3,58,2022-05-13,Logan ,20,,,,,,,
E3,59,2022-05-13,Logan ,,,,,,,,
E3,60,2022-05-13,Logan ,8,,,,,,,
E3,61,2022-05-13,Logan ,12,,,,,,,
E3,62,2022-05-13,Logan ,9,,,,,,,
E3,63,2022-05-13,Logan ,16,,,,,,,
E3,64,2022-05-13,Logan ,9,,,,,,,
E3,65,2022-05-13,Logan ,11,,,,,,,
E3,66,2022-05-13,Logan ,12,,,,,,,
E3,67,2022-05-13,Logan ,5,,,,,,,
E3,68,2022-05-13,Logan ,8,,,,,,,
E3,69,2022-05-13,Logan ,9,,,,,,,
E3,70,2022-05-13,Logan ,12,,,,,,,
E3,71,2022-05-13,Logan ,7,,,,,,,
E3,72,2022-05-13,Logan ,11,,,,,,,
E3,73,2022-05-13,Logan ,20,,,,,,,
E3,74,2022-05-13,Logan ,11,,,,,,,
E3,75,2022-05-13,Logan ,,,,,,,,
E3,76,2022-05-13,Logan ,11,,,,,,,
E3,77,2022-05-13,Logan ,6,,,,,,,
E3,78,2022-05-13,Logan ,9,,,,,,,
E3,79,2022-05-13,Logan ,14,,,,,,,
E3,80,2022-05-13,Logan ,10,,,,,,,
E3,81,2022-05-13,Logan ,10,,,,,,,
E3,82,2022-05-13,Logan ,9,,,,,,,
E3,83,2022-05-13,Logan ,7,,,,,,,
E3,84,2022-05-13,Logan ,13,,,,,,,
E3,85,2022-05-13,Logan ,,,,,,,,
