Plot,Individual,Date,Measurer,Num_primary_stems,Num_stems_dmg,Apical_stem_dmg
E1,1,2018-08-08,jamie,4,0,n
E1,2,2018-08-08,jamie,4,2,n
E1,3,2018-08-08,jamie,2,0,n
E1,4,2018-08-08,jamie,5,3,y
E1,5,2018-08-08,jamie,6,0,n
E1,6,2018-08-08,jamie,4,0,n
E1,7,2018-08-08,jamie,3,1,n
E1,8,2018-08-08,jamie,3,0,n
E1,9,2018-08-08,jamie,2,1,y
E1,10,2018-08-08,jamie,2,0,n
E1,11,2018-08-08,jamie,4,3,y
E1,12,2018-08-08,jamie,6,0,n
E1,13,2018-08-08,jamie,7,0,n
E1,14,2018-08-08,jamie,1,0,n
E1,15,2018-08-08,jamie,2,1,n
E1,16,2018-08-08,jamie,4,2,y
E1,17,2018-08-08,jamie,5,2,y
E1,18,2018-08-08,jamie,6,0,n
E1,19,2018-08-08,jamie,6,0,n
E1,20,2018-08-08,jamie,4,2,n
E1,21,2018-08-08,jamie,1,0,n
E1,22,2018-08-08,jamie,6,0,n
E1,23,2018-08-08,jamie,7,1,n
E1,24,2018-08-08,jamie,6,1,n
E1,25,2018-08-08,jamie,5,0,n
E1,26,2018-08-08,jamie,5,0,n
E1,27,2018-08-08,jamie,4,0,n
E1,28,2018-08-08,jamie,5,1,y
E1,29,2018-08-08,jamie,2,0,n
E1,30,2018-08-08,jamie,5,1,n
E1,31,2018-08-08,jamie,3,0,n
E1,32,2018-08-08,jamie,4,0,n
E1,33,2018-08-08,jamie,6,0,n
E1,34,2018-08-08,jamie,6,0,n
E1,35,2018-08-08,jamie,5,1,n
E1,36,2018-08-08,jamie,3,0,n
E1,37,2018-08-08,jamie,5,0,n
E1,38,2018-08-08,jamie,6,2,n
E1,39,2018-08-08,jamie,3,0,n
E1,40,2018-08-08,jamie,5,0,n
E1,41,2018-08-08,jamie,5,0,n
E1,42,2018-08-08,jamie,3,1,n
E1,43,2018-08-08,jamie,8,3,n
E1,44,2018-08-08,jamie,1,0,n
E1,45,2018-08-08,jamie,4,2,n
E1,46,2018-08-08,jamie,4,0,n
E1,47,2018-08-08,jamie,5,2,n
E1,48,2018-08-08,jamie,4,0,n
E1,49,2018-08-08,jamie,4,0,n
E1,50,2018-08-08,jamie,5,3,n
E1,51,2018-08-08,jamie,5,1,n
E1,52,2018-08-08,jamie,5,1,n
E1,53,2018-08-08,jamie,5,0,n
E1,54,2018-08-08,jamie,5,2,n
E1,55,2018-08-08,jamie,6,0,n
E1,56,2018-08-08,jamie,5,2,n
E1,57,2018-08-08,jamie,4,0,n
E1,58,2018-08-08,jamie,8,3,y
E1,59,2018-08-08,jamie,3,1,n
E1,60,2018-08-08,jamie,5,0,n
E1,61,2018-08-08,jamie,6,0,n
E1,62,2018-08-08,jamie,2,0,n
E1,63,2018-08-08,jamie,missing,,
E1,64,2018-08-08,jamie,4,0,n
E1,65,2018-08-08,jamie,4,0,n
E1,66,2018-08-08,jamie,3,2,n
E1,67,2018-08-08,jamie,5,1,n
E1,68,2018-08-08,jamie,4,0,n
E1,69,2018-08-08,jamie,5,0,n
E1,70,2018-08-08,jamie,4,1,n
E1,71,2018-08-08,jamie,3,1,n
E1,72,2018-08-08,jamie,4,0,n
E1,73,2018-08-08,jamie,3,0,n
E1,74,2018-08-08,jamie,5,1,n
E1,75,2018-08-08,jamie,4,2,n
E1,76,2018-08-08,jamie,1,0,n
E1,77,2018-08-08,jamie,2,0,n
E1,78,2018-08-08,jamie,5,1,n
E1,79,2018-08-08,jamie,4,1,n
E1,80,2018-08-08,jamie,3,0,n
E1,81,2018-08-08,jamie,4,1,n
E1,82,2018-08-08,jamie,5,0,n
E1,83,2018-08-08,jamie,5,1,n
E1,84,2018-08-08,jamie,5,2,n
E1,85,2018-08-08,jamie,4,0,n
E1,86,2018-08-08,jamie,5,0,n
E1,87,2018-08-08,jamie,3,0,n
E1,88,2018-08-08,jamie,6,3,n
E1,89,2018-08-08,jamie,9,3,n
E1,90,2018-08-08,jamie,6,0,n
E1,91,2018-08-08,jamie,2,1,n
E1,92,2018-08-08,jamie,6,1,n
