block ,individual,date,surveyor,stem_length,bud_length,flower_length,fruit_length,note,stem_switch
E1,1,20/6/2018,N/A,51,,,,,
E1,2,20/6/2018,N/A,71,77.5,,,,
E1,3,20/6/2018,N/A,72,,,,,
E1,4,20/6/2018,N/A,85,,,,,
E1,5,20/6/2018,N/A,74,74.5,,,,
E1,6,20/6/2018,N/A,105,,,,,
E1,7,20/6/2018,N/A,65,66.5,,,,
E1,8,20/6/2018,N/A,63,63.5,,,,
E1,9,20/6/2018,N/A,101,103.5,,,,
E1,10,20/6/2018,N/A,83.5,,,,,
E1,11,20/6/2018,N/A,73,,,,,
E1,12,20/6/2018,N/A,80,82,,,,
E1,13,20/6/2018,N/A,80,81.5,,,,
E1,14,20/6/2018,N/A,60,,,,,
E1,15,20/6/2018,N/A,75.5,,,,,
E1,16,20/6/2018,N/A,67.5,,,,,
E1,17,20/6/2018,N/A,86,,,,,
E1,18,20/6/2018,N/A,87.5,92.5,,,,
E1,19,20/6/2018,N/A,79,,,,,
E1,20,20/6/2018,N/A,91,99,,,,
E1,21,20/6/2018,N/A,91.5,,,,,
E1,22,20/6/2018,N/A,76,,,,,
E1,23,20/6/2018,N/A,73,82,76.5,,,
E1,24,20/6/2018,N/A,82,83,,,,
E1,25,20/6/2018,N/A,69,,,,,
E1,26,20/6/2018,N/A,94.5,,,,,
E1,27,20/6/2018,N/A,91,95,,,,
E1,28,20/6/2018,N/A,90,94.5,,,,
E1,29,20/6/2018,N/A,92,,,,,
E1,30,20/6/2018,N/A,78,,,,,
E1,31,20/6/2018,N/A,108,111,,,,
E1,32,20/6/2018,N/A,79,,,,,
E1,33,20/6/2018,N/A,69,,,,,
E1,34,20/6/2018,N/A,72.5,,,,,
E1,35,20/6/2018,N/A,84,,,,,
E1,36,20/6/2018,N/A,101,103.5,,,,
E1,37,20/6/2018,N/A,80,81,,,,
E1,38,20/6/2018,N/A,83,,,,,
E1,39,20/6/2018,N/A,62.5,75,,,,
E1,40,20/6/2018,N/A,91,91.5,,,,
E1,41,20/6/2018,N/A,90,99,,,,
E1,42,20/6/2018,N/A,67.5,,,,,
E1,43,20/6/2018,N/A,87,88,,,,
E1,44,20/6/2018,N/A,81,,,,,
E1,45,20/6/2018,N/A,79,,,,,
E1,46,20/6/2018,N/A,84,90.5,,,,
E1,47,20/6/2018,N/A,73,,,,,
E1,48,20/6/2018,N/A,78.5,,,,,
E1,49,20/6/2018,N/A,88,94,,,,
E1,50,20/6/2018,N/A,68,,,,,
E1,51,20/6/2018,N/A,86,,,,,
E1,52,20/6/2018,N/A,67,,,,,
E1,53,20/6/2018,N/A,84,87,,,,
E1,54,20/6/2018,N/A,80,,,,,
E1,55,20/6/2018,N/A,77.5,83,,,,
E1,56,20/6/2018,N/A,66,,,,,
E1,57,20/6/2018,N/A,87.5,,,,,
E1,58,20/6/2018,N/A,76,77,,,,
E1,59,20/6/2018,N/A,58,,,,,
E1,60,20/6/2018,N/A,111,112,,,,
E1,61,20/6/2018,N/A,86,,,,,
E1,62,20/6/2018,N/A,100,,,,,
E1,63,20/6/2018,N/A,missing,,,,,
E1,64,20/6/2018,N/A,73,74,,,,
E1,65,20/6/2018,N/A,84,,,,,
E1,66,20/6/2018,N/A,95,96.5,,,,
E1,67,20/6/2018,N/A,81,82.5,,,,
E1,68,20/6/2018,N/A,93,94.5,,,,
E1,69,20/6/2018,N/A,83.5,,,,,
E1,70,20/6/2018,N/A,104,109,,,,
E1,71,20/6/2018,N/A,107,,,,,
E1,72,20/6/2018,N/A,88.5,,,,,
E1,73,20/6/2018,N/A,93,,,,,
E1,74,20/6/2018,N/A,72,,,,,
E1,75,20/6/2018,N/A,99.5,,,,,
E1,76,20/6/2018,N/A,113.5,,,,,
E1,77,20/6/2018,N/A,90.5,,,,,
E1,78,20/6/2018,N/A,84,,,,,
E1,79,20/6/2018,N/A,78,,,,,
E1,80,20/6/2018,N/A,83,,,,,
E1,81,20/6/2018,N/A,83.5,,,,,
E1,82,20/6/2018,N/A,76,,,,,
E1,83,20/6/2018,N/A,90,93,,,,
