Block,Position,Date,Measurer,Veg,Bud,Flr,Frt,Abt,M,S,N
E3,1,07-Jun,Serena/Jerry,75,,,,,,,
E3,2,07-Jun,Serena/Jerry,56,,,,,,,
E3,3,07-Jun,Serena/Jerry,53,,,,,,,
E3,4,07-Jun,Serena/Jerry,56,,,,,,,
E3,5,07-Jun,Serena/Jerry,43,,,,,,,
E3,6,07-Jun,Serena/Jerry,NA,,,,,,,
E3,7,07-Jun,Serena/Jerry,30,,,,,,,
E3,8,07-Jun,Serena/Jerry,64,,,,,,,
E3,9,07-Jun,Serena/Jerry,48,,,,,,,
E3,10,07-Jun,Serena/Jerry,42,,,,,,,
E3,11,07-Jun,Serena/Jerry,NA,,,,,,,
E3,12,07-Jun,Serena/Jerry,NA,,,,,,,
E3,13,07-Jun,Serena/Jerry,39,,,,,,,
E3,14,07-Jun,Serena/Jerry,30,,,,,,,
E3,15,07-Jun,Serena/Jerry,46,,,,,,,
E3,16,07-Jun,Serena/Jerry,36,,,,,,,
E3,17,07-Jun,Serena/Jerry,37,,,,,,,
E3,18,07-Jun,Serena/Jerry,56,,,,,,,
E3,19,07-Jun,Serena/Jerry,54,,,,,,,
E3,20,07-Jun,Serena/Jerry,35,,,,,,,
E3,21,07-Jun,Serena/Jerry,35,,,,,,,
E3,22,07-Jun,Serena/Jerry,50,,,,,,,
E3,23,07-Jun,Serena/Jerry,52,,,,,,,
E3,24,07-Jun,Serena/Jerry,45,,,,,,,
E3,25,07-Jun,Serena/Jerry,55,,,,,,,
E3,26,07-Jun,Serena/Jerry,40,,,,,,,
E3,27,07-Jun,Serena/Jerry,32,,,,,,,
E3,28,07-Jun,Serena/Jerry,49,,,,,,,
E3,29,07-Jun,Serena/Jerry,43,,,,,,,
E3,30,07-Jun,Serena/Jerry,45,,,,,,,
E3,31,07-Jun,Serena/Jerry,36,,,,,,,
E3,32,07-Jun,Serena/Jerry,49,,,,,,,
E3,33,07-Jun,Serena/Jerry,52,,,,,,,
E3,34,07-Jun,Serena/Jerry,25,,,,,,,
E3,35,07-Jun,Serena/Jerry,39,,,,,,,
E3,36,07-Jun,Serena/Jerry,50,,,,,,,
E3,37,07-Jun,Serena/Jerry,39,,,,,,,
E3,38,07-Jun,Serena/Jerry,41,,,,,,,
E3,39,07-Jun,Serena/Jerry,43,,,,,,,
E3,40,07-Jun,Serena/Jerry,63,,,,,,,
E3,41,07-Jun,Serena/Jerry,38,,,,,,,
E3,42,07-Jun,Serena/Jerry,56,,,,,,,
E3,43,07-Jun,Serena/Jerry,44,,,,,,,
E3,44,07-Jun,Serena/Jerry,26,,,,,,,
E3,45,07-Jun,Serena/Jerry,42,,,,,,,
E3,46,07-Jun,Serena/Jerry,34,,,,,,,
E3,47,07-Jun,Serena/Jerry,NA,,,,,,,
E3,48,07-Jun,Serena/Jerry,39,,,,,,,
E3,49,07-Jun,Serena/Jerry,42,,,,,,,
E3,50,07-Jun,Serena/Jerry,38,,,,,,,
E3,51,07-Jun,Serena/Jerry,41,,,,,,,
E3,52,07-Jun,Serena/Jerry,44,,,,,,,
E3,53,07-Jun,Serena/Jerry,48,,,,,,,
E3,54,07-Jun,Serena/Jerry,51,,,,,,,
E3,55,07-Jun,Serena/Jerry,45,,,,,,,
E3,56,07-Jun,Serena/Jerry,44,,,,,,,
E3,57,07-Jun,Serena/Jerry,38,,,,,,,
E3,58,07-Jun,Serena/Jerry,70,,,,,,,
E3,59,07-Jun,Serena/Jerry,29,,,,,,,
E3,60,07-Jun,Serena/Jerry,41,,,,,,,
E3,61,07-Jun,Serena/Jerry,41,,,,,,,
E3,62,07-Jun,Serena/Jerry,40,,,,,,,
E3,63,07-Jun,Serena/Jerry,NA,,,,,,,
E3,64,07-Jun,Serena/Jerry,37,,,,,,,
E3,65,07-Jun,Serena/Jerry,56,,,,,,,
E3,66,07-Jun,Serena/Jerry,47,,,,,,,
E3,67,07-Jun,Serena/Jerry,17,,,,,,,
E3,68,07-Jun,Serena/Jerry,31,,,,,,,
E3,69,07-Jun,Serena/Jerry,46,,,,,,,
E3,70,07-Jun,Serena/Jerry,56,,,,,,,
E3,71,07-Jun,Serena/Jerry,21,,,,,,,
E3,72,07-Jun,Serena/Jerry,27,,,,,,,
E3,73,07-Jun,Serena/Jerry,43,,,,,,,
E3,74,07-Jun,Serena/Jerry,48,,,,,,,
E3,75,07-Jun,Serena/Jerry,41,,,,,,,
E3,76,07-Jun,Serena/Jerry,45,,,,,,,
E3,77,07-Jun,Serena/Jerry,33,,,,,,,
E3,78,07-Jun,Serena/Jerry,45,,,,,,,
E3,79,07-Jun,Serena/Jerry,31,,,,,,,
E3,80,07-Jun,Serena/Jerry,45,,,,,,,
E3,81,07-Jun,Serena/Jerry,36,,,,,,,
E3,82,07-Jun,Serena/Jerry,35,,,,,,,
E3,83,07-Jun,Serena/Jerry,45,,,,,,,
E3,84,07-Jun,Serena/Jerry,21,,,,,,,
E3,85,07-Jun,Serena/Jerry,33,,,,,,,
E3,86,07-Jun,Serena/Jerry,27,,,,,,,
E3,87,07-Jun,Serena/Jerry,40,,,,,,,
E3,88,07-Jun,Serena/Jerry,36,,,,,,,
E3,89,07-Jun,Serena/Jerry,24,,,,,,,
E3,90,07-Jun,Serena/Jerry,30,,,,,,,
E3,91,07-Jun,Serena/Jerry,NA,,,,,,,
E3,92,07-Jun,Serena/Jerry,40,,,,,,,
E3,93,07-Jun,Serena/Jerry,38,,,,,,,
E3,94,07-Jun,Serena/Jerry,30,,,,,,,
E3,95,07-Jun,Serena/Jerry,42,,,,,,,
E3,96,07-Jun,Serena/Jerry,60,,,,,,,
E3,97,07-Jun,Serena/Jerry,NA,,,,,,,
E3,98,07-Jun,Serena/Jerry,42,,,,,,,
E3,99,07-Jun,Serena/Jerry,41,,,,,,,
E3,100,07-Jun,Serena/Jerry,45,,,,,,,
E3,101,07-Jun,Serena/Jerry,38,,,,,,,
E3,102,07-Jun,Serena/Jerry,61,,,,,,,
E3,103,07-Jun,Serena/Jerry,57,,,,,,,
E3,104,07-Jun,Serena/Jerry,40,,,,,,,
E3,105,07-Jun,Serena/Jerry,43,,,,,,,
E3,106,07-Jun,Serena/Jerry,41,,,,,,,
E3,107,07-Jun,Serena/Jerry,25,,,,,,,
E3,108,07-Jun,Serena/Jerry,48,,,,,,,
E3,109,07-Jun,Serena/Jerry,46,,,,,,,
E3,110,07-Jun,Serena/Jerry,30,,,,,,,
E3,111,07-Jun,Serena/Jerry,35,,,,,,,
E3,112,07-Jun,Serena/Jerry,61,,,,,,,
E3,113,07-Jun,Serena/Jerry,43,,,,,,,
E3,114,07-Jun,Serena/Jerry,37,,,,,,,
E3,115,07-Jun,Serena/Jerry,62,,,,,,,
E3,116,07-Jun,Serena/Jerry,64,,,,,,,
E3,117,07-Jun,Serena/Jerry,38,,,,,,,
E3,118,07-Jun,Serena/Jerry,29,,,,,,,
E3,119,07-Jun,Serena/Jerry,41,,,,,,,
E3,120,07-Jun,Serena/Jerry,25,,,,,,,
E3,121,07-Jun,Serena/Jerry,52,,,,,,,
E3,122,07-Jun,Serena/Jerry,42,,,,,,,
E3,123,07-Jun,Serena/Jerry,21,,,,,,,
E3,124,07-Jun,Serena/Jerry,24,,,,,,,
E3,125,07-Jun,Serena/Jerry,40,,,,,,,
E3,126,07-Jun,Serena/Jerry,51,,,,,,,
E3,127,07-Jun,Serena/Jerry,42,,,,,,,
E3,128,07-Jun,Serena/Jerry,46,,,,,,,
E3,129,07-Jun,Serena/Jerry,42,,,,,,,
E3,130,07-Jun,Serena/Jerry,42,,,,,,,
E3,131,07-Jun,Serena/Jerry,71,,,,,,,
E3,132,07-Jun,Serena/Jerry,48,,,,,,,
E3,133,07-Jun,Serena/Jerry,50,,,,,,,
E3,134,07-Jun,Serena/Jerry,39,,,,,,,
E3,135,07-Jun,Serena/Jerry,48,,,,,,,
E3,136,07-Jun,Serena/Jerry,50,,,,,,,
E3,137,07-Jun,Serena/Jerry,48,,,,,,,
E3,138,07-Jun,Serena/Jerry,27,,,,,,,
E3,139,07-Jun,Serena/Jerry,48,,,,,,,
E3,140,07-Jun,Serena/Jerry,48,,,,,,,
E3,141,07-Jun,Serena/Jerry,67,,,,,,,
E3,142,07-Jun,Serena/Jerry,31,,,,,,,
E3,143,07-Jun,Serena/Jerry,41,,,,,,,
E3,144,07-Jun,Serena/Jerry,45,,,,,,,
E3,145,07-Jun,Serena/Jerry,41,,,,,,,
E3,146,07-Jun,Serena/Jerry,43,,,,,,,
E3,147,07-Jun,Serena/Jerry,40,,,,,,,
E3,148,07-Jun,Serena/Jerry,49,,,,,,,
E3,149,07-Jun,Serena/Jerry,39,,,,,,,
E3,150,07-Jun,Serena/Jerry,62,,,,,,,
