Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
E1,1,30.07,df,2020-01-14,DF,0,,
E1,2,31.4,df,2020-01-15,DF,0,,
E1,3,34.66,df,2020-01-16,DF,0,,
E1,4,29.01,df,2020-01-17,DF,0,,
E1,5,31.79,df,2020-01-18,DF,0,,
E1,6,37.46,df,2020-01-19,DF,0,,
E1,7,33.3,df,2020-01-20,DF,0,,
E1,8,31.39,df,2020-01-21,DF,0,,
E1,9,33.09,df,2020-01-22,DF,0,,
E1,10,31.21,df,2020-01-23,DF,0,,
E1,11,30.58,df,2020-01-24,DF,0,,
E1,12,31.86,df,2020-01-25,DF,0,,
E1,13,35.68,df,2020-01-26,DF,0,,
E1,14,28.6,df,2020-01-27,DF,0,,
E1,15,30.61,df,2020-01-28,DF,0,,
E1,16,30.64,df,2020-01-29,DF,0,,
E1,17,28.16,df,2020-01-30,DF,0,,
E1,18,37.93,df,2020-01-31,DF,0,,
E1,19,30.47,df,2020-02-01,DF,0,,
E1,20,30.72,df,2020-02-02,DF,0,,
E1,21,31.42,df,2020-02-03,DF,0,,
E1,22,29.63,df,2020-02-04,DF,0,,
E1,23,38.04,df,2020-02-05,DF,0,,
E1,24,31.81,df,2020-02-06,DF,0,,
E1,25,32.41,df,2020-02-07,DF,0,,
E1,26,33.3,df,2020-02-08,DF,0,,
E1,27,34.59,df,2020-02-09,DF,0,,
E1,28,38.84,df,2020-02-10,DF,0,,
E1,29,30.45,df,2020-02-11,DF,0,,
E1,30,31.8,df,2020-02-12,DF,0,,
E1,31,35.79,df,2020-02-13,DF,0,,
E1,32,33.2,df,2020-02-14,DF,0,,
E1,33,35.63,df,2020-02-15,DF,0,,
E1,34,31.72,df,2020-02-16,DF,0,,
E1,35,33.25,df,2020-02-17,DF,0,,
E1,36,42.77,df,2020-02-18,DF,0,,
E1,37,32.18,df,2020-02-19,DF,0,,
E1,38,33.26,df,2020-02-20,DF,0,,
E1,39,32.87,df,2020-02-21,DF,0,,
E1,40,40.09,df,2020-02-22,DF,0,,
E1,41,43.78,df,2020-02-23,DF,0,,
E1,42,31.16,df,2020-02-24,DF,0,,
E1,43,42.94,df,2020-02-25,DF,0,,
E1,44,30.48,df,2020-02-26,DF,0,,
E1,45,32.28,df,2020-02-27,DF,0,,
E1,46,36.31,df,2020-02-28,DF,0,,
E1,47,31.61,df,2020-02-29,DF,0,,
E1,48,32.94,df,2020-03-01,DF,0,,
E1,49,38.22,df,2020-03-02,DF,0,,
E1,50,31.05,df,2020-03-03,DF,0,,
E1,51,42.36,df,2020-03-04,DF,0,,
E1,52,30.02,df,2020-03-05,DF,0,,
E1,53,30.65,df,2020-03-06,DF,0,,
E1,54,33.75,df,2020-03-07,DF,0,,
E1,55,35.59,df,2020-03-08,DF,0,,
E1,56,46.32,df,2020-03-09,DF,0,,
E1,57,28.56,df,2020-03-10,DF,0,,"
"
E1,58,44.63,df,2020-03-11,DF,0,,
E1,59,33.26,df,2020-03-12,DF,0,,
E1,60,37.01,df,2020-03-13,DF,0,,
E1,61,40.9,df,2020-03-14,DF,0,,
E1,62,32.19,df,2020-03-15,DF,0,,
E1,63,NA,df,2020-03-16,DF,0,,
E1,64,35.3,df,2020-03-17,DF,0,,
E1,65,34.6,df,2020-03-18,DF,0,,
E1,66,36.73,df,2020-03-19,DF,0,,
E1,67,31.42,df,2020-03-20,DF,0,,
E1,68,42.61,df,2020-03-21,DF,0,,
E1,69,37.31,df,2020-03-22,DF,0,,
E1,70,39.02,df,2020-03-23,DF,0,,
E1,71,31.33,df,2020-03-24,DF,0,,
E1,72,36.62,df,2020-03-25,DF,0,,
E1,73,34.19,df,2020-03-26,DF,0,,
E1,74,29.5,df,2020-03-27,DF,0,,
E1,75,37.92,df,2020-03-28,DF,0,,
E1,76,40.82,df,2020-03-29,DF,0,,
E1,77,32.07,df,2020-03-30,DF,0,,
E1,78,37.48,df,2020-03-31,DF,0,,
E1,79,31.48,df,2020-04-01,DF,0,,
E1,80,30.85,df,2020-04-02,DF,0,,
E1,81,41.48,df,2020-04-03,DF,0,,
E1,82,32.43,df,2020-04-04,DF,0,,
E1,83,37.53,df,2020-04-05,DF,0,,
E1,84,32.42,df,2020-04-06,DF,0,,
E1,85,35.71,df,2020-04-07,DF,0,,
E1,86,33.69,df,2020-04-08,DF,0,,
E1,87,32.06,df,2020-04-09,DF,0,,
E1,88,44.61,df,2020-04-10,DF,0,,
E1,89,37.35,df,2020-04-11,DF,0,,
E1,90,36.11,df,2020-04-12,DF,0,,
E1,91,31.34,df,2020-04-13,DF,0,,
E1,92,31.94,df,2020-04-14,DF,0,,
E1,93,45.12,df,2020-04-15,DF,0,,
E1,94,37.96,df,2020-04-16,DF,0,,
E1,95,31.77,df,2020-04-17,DF,0,,
E1,96,27.93,df,2020-04-18,DF,0,,
E1,97,40.16,df,2020-04-19,DF,0,,
E1,98,48.6,df,2020-04-20,DF,0,,
E1,99,36.95,df,2020-04-21,DF,0,,
E1,100,63.09,df,2020-04-22,DF,0,,
E1,101,83.12,df,2020-04-23,DF,0,,
E1,102,43.17,df,2020-04-24,DF,0,,
E1,103,60.97,df,2020-04-25,DF,0,,
E1,104,47.31,df,2020-04-26,DF,0,,
