Block,Pos,Date,Weight,Measured_by,Entered_by,Missing,NOTES,"Individuals with missing bags were assigned the ""empty bag"" weight for their box- May 10, 2023"
E3,1,27-Mar-23,82.83,Vivian Nguyen,Vivian Nguyen,,,
E3,2,27-Mar-23,51.55,Vivian Nguyen,Vivian Nguyen,,,
E3,3,27-Mar-23,36.07,Vivian Nguyen,Vivian Nguyen,,,
E3,4,27-Mar-23,39.45,Vivian Nguyen,Vivian Nguyen,,,
E3,5,27-Mar-23,43.33,Vivian Nguyen,Vivian Nguyen,,,
E3,6,27-Mar-23,31.15,Vivian Nguyen,Vivian Nguyen,,,
E3,7,27-Mar-23,41.69,Vivian Nguyen,Vivian Nguyen,,,
E3,8,27-Mar-23,81.69,Vivian Nguyen,Vivian Nguyen,,,
E3,9,27-Mar-23,35.31,Vivian Nguyen,Vivian Nguyen,,,
E3,10,27-Mar-23,34.55,Vivian Nguyen,Vivian Nguyen,,,
E3,11,27-Mar-23,30.89,Vivian Nguyen,Vivian Nguyen,,,
E3,12,27-Mar-23,38.69,Vivian Nguyen,Vivian Nguyen,,,
E3,13,27-Mar-23,33.63,Vivian Nguyen,Vivian Nguyen,,,
E3,14,27-Mar-23,37.87,Vivian Nguyen,Vivian Nguyen,,,
E3,15,27-Mar-23,42.26,Vivian Nguyen,Vivian Nguyen,,,
E3,16,27-Mar-23,35.86,Vivian Nguyen,Vivian Nguyen,,,
E3,17,27-Mar-23,38.43,Vivian Nguyen,Vivian Nguyen,,,
E3,18,27-Mar-23,68.09,Vivian Nguyen,Vivian Nguyen,,,
E3,19,27-Mar-23,52.86,Vivian Nguyen,Vivian Nguyen,,,
E3,20,27-Mar-23,57.74,Vivian Nguyen,Vivian Nguyen,,,
E3,21,27-Mar-23,30.57,Vivian Nguyen,Vivian Nguyen,1,no bag,
E3,22,27-Mar-23,30.57,Vivian Nguyen,Vivian Nguyen,1,no bag,
E3,23,27-Mar-23,44.51,Vivian Nguyen,Vivian Nguyen,,,
E3,24,27-Mar-23,40.83,Vivian Nguyen,Vivian Nguyen,,,
E3,25,27-Mar-23,70.83,Vivian Nguyen,Vivian Nguyen,,,
E3,26,27-Mar-23,33.75,Vivian Nguyen,Vivian Nguyen,,,
E3,27,27-Mar-23,37.79,Vivian Nguyen,Vivian Nguyen,,,
E3,28,27-Mar-23,81.59,Vivian Nguyen,Vivian Nguyen,,,
E3,29,27-Mar-23,34.92,Vivian Nguyen,Vivian Nguyen,,,
E3,30,27-Mar-23,43.85,Vivian Nguyen,Vivian Nguyen,,,
E3,31,27-Mar-23,37.05,Vivian Nguyen,Vivian Nguyen,,,
E3,32,27-Mar-23,32.76,Vivian Nguyen,Vivian Nguyen,,,
E3,33,27-Mar-23,89.04,Vivian Nguyen,Vivian Nguyen,,,
E3,34,27-Mar-23,33.31,Vivian Nguyen,Vivian Nguyen,,,
E3,35,27-Mar-23,34.91,Vivian Nguyen,Vivian Nguyen,,,
E3,36,27-Mar-23,57.06,Vivian Nguyen,Vivian Nguyen,,,
E3,37,27-Mar-23,33.52,Vivian Nguyen,Vivian Nguyen,,,
E3,38,27-Mar-23,33.1,Vivian Nguyen,Vivian Nguyen,,,
E3,39,27-Mar-23,36.15,Vivian Nguyen,Vivian Nguyen,,,
E3,40,27-Mar-23,42.26,Vivian Nguyen,Vivian Nguyen,,,
E3,41,27-Mar-23,46.3,Vivian Nguyen,Vivian Nguyen,,,
E3,42,27-Mar-23,40.94,Vivian Nguyen,Vivian Nguyen,,,
E3,43,27-Mar-23,53.68,Vivian Nguyen,Vivian Nguyen,,,
E3,44,27-Mar-23,32.1,Vivian Nguyen,Vivian Nguyen,,,
E3,45,27-Mar-23,41.73,Vivian Nguyen,Vivian Nguyen,,,
E3,46,27-Mar-23,33.07,Vivian Nguyen,Vivian Nguyen,,,
E3,47,27-Mar-23,39.3,Vivian Nguyen,Vivian Nguyen,,,
E3,48,27-Mar-23,37.49,Vivian Nguyen,Vivian Nguyen,,,
E3,49,27-Mar-23,33.82,Vivian Nguyen,Vivian Nguyen,,,
E3,50,27-Mar-23,31,Vivian Nguyen,Vivian Nguyen,,"E10 box 1-50, empty bag = 30.57g",
E3,51,28-Mar-23,36.21,Kris Sanchez,Vivian Nguyen,,,
E3,52,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,53,28-Mar-23,39.48,Kris Sanchez,Vivian Nguyen,,,
E3,54,28-Mar-23,36.1,Kris Sanchez,Vivian Nguyen,,,
E3,55,28-Mar-23,50.36,Kris Sanchez,Vivian Nguyen,,,
E3,56,28-Mar-23,35.36,Kris Sanchez,Vivian Nguyen,,,
E3,57,28-Mar-23,31.11,Kris Sanchez,Vivian Nguyen,,,
E3,58,28-Mar-23,32.75,Kris Sanchez,Vivian Nguyen,,,
E3,59,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,60,28-Mar-23,49.86,Kris Sanchez,Vivian Nguyen,,,
E3,61,28-Mar-23,44.91,Kris Sanchez,Vivian Nguyen,,,
E3,62,28-Mar-23,31.39,Kris Sanchez,Vivian Nguyen,,,
E3,63,28-Mar-23,51.58,Kris Sanchez,Vivian Nguyen,,,
E3,64,28-Mar-23,31.71,Kris Sanchez,Vivian Nguyen,,,
E3,65,28-Mar-23,53.74,Kris Sanchez,Vivian Nguyen,,,
E3,66,28-Mar-23,35.24,Kris Sanchez,Vivian Nguyen,,,
E3,67,28-Mar-23,36.56,Kris Sanchez,Vivian Nguyen,,,
E3,68,28-Mar-23,30.33,Kris Sanchez,Vivian Nguyen,,,
E3,69,28-Mar-23,43.56,Kris Sanchez,Vivian Nguyen,,,
E3,70,28-Mar-23,48.65,Kris Sanchez,Vivian Nguyen,,,
E3,71,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,72,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,73,28-Mar-23,60.47,Kris Sanchez,Vivian Nguyen,,,
E3,74,28-Mar-23,35.6,Kris Sanchez,Vivian Nguyen,,,
E3,75,28-Mar-23,34.21,Kris Sanchez,Vivian Nguyen,,,
E3,76,28-Mar-23,44.42,Kris Sanchez,Vivian Nguyen,,,
E3,77,28-Mar-23,34.13,Kris Sanchez,Vivian Nguyen,,,
E3,78,28-Mar-23,42.31,Kris Sanchez,Vivian Nguyen,,,
E3,79,28-Mar-23,33.63,Kris Sanchez,Vivian Nguyen,,,
E3,80,28-Mar-23,47.2,Kris Sanchez,Vivian Nguyen,,,
E3,81,28-Mar-23,29.91,Kris Sanchez,Vivian Nguyen,,,
E3,82,28-Mar-23,31.64,Kris Sanchez,Vivian Nguyen,,,
E3,83,28-Mar-23,44.49,Kris Sanchez,Vivian Nguyen,,,
E3,84,28-Mar-23,29.54,Kris Sanchez,Vivian Nguyen,,,
E3,85,28-Mar-23,29.17,Kris Sanchez,Vivian Nguyen,,,
E3,86,28-Mar-23,34.16,Kris Sanchez,Vivian Nguyen,,,
E3,87,28-Mar-23,32.22,Kris Sanchez,Vivian Nguyen,,,
E3,88,28-Mar-23,35.91,Kris Sanchez,Vivian Nguyen,,,
E3,89,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,90,28-Mar-23,29.87,Kris Sanchez,Vivian Nguyen,,,
E3,91,28-Mar-23,29.13,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,92,28-Mar-23,34.86,Kris Sanchez,Vivian Nguyen,,,
E3,93,28-Mar-23,32.33,Kris Sanchez,Vivian Nguyen,,,
E3,94,28-Mar-23,30.99,Kris Sanchez,Vivian Nguyen,,,
E3,95,28-Mar-23,31.34,Kris Sanchez,Vivian Nguyen,,,
E3,96,28-Mar-23,44.94,Kris Sanchez,Vivian Nguyen,,,
E3,97,29-Mar-23,33.06,Kris Sanchez,Vivian Nguyen,,,
E3,98,29-Mar-23,52.94,Vivian Nguyen,Vivian Nguyen,,,
E3,99,29-Mar-23,32.9,Kris Sanchez,Vivian Nguyen,,,
E3,100,29-Mar-23,30.65,Vivian Nguyen,Vivian Nguyen,,"E3 box 1-100, empty bag = 29.13g",
E3,101,29-Mar-23,32.38,Kris Sanchez,Vivian Nguyen,1,Whole bag missing,
E3,102,29-Mar-23,32.85,Vivian Nguyen,Vivian Nguyen,,,
E3,103,29-Mar-23,87.88,Kris Sanchez,Vivian Nguyen,,,
E3,104,29-Mar-23,45.41,Vivian Nguyen,Vivian Nguyen,,,
E3,105,29-Mar-23,60.75,Vivian Nguyen,Vivian Nguyen,,,
E3,106,29-Mar-23,39.28,Vivian Nguyen,Vivian Nguyen,,,
E3,107,29-Mar-23,32.38,,Vivian Nguyen,1,Whole bag missing,
E3,108,29-Mar-23,32.12,Kris Sanchez,Vivian Nguyen,,,
E3,109,29-Mar-23,80.91,Kris Sanchez,Vivian Nguyen,,,
E3,110,29-Mar-23,33.27,Vivian Nguyen,Vivian Nguyen,,,
E3,111,29-Mar-23,30.56,Vivian Nguyen,Vivian Nguyen,,,
E3,112,29-Mar-23,38.19,Kris Sanchez,Vivian Nguyen,,,
E3,113,29-Mar-23,53.18,Vivian Nguyen,Vivian Nguyen,,,
E3,114,29-Mar-23,36.19,Vivian Nguyen,Vivian Nguyen,,,
E3,115,29-Mar-23,44.03,Vivian Nguyen,Vivian Nguyen,,,
E3,116,29-Mar-23,51.19,Vivian Nguyen,Vivian Nguyen,,,
E3,117,29-Mar-23,36.01,Vivian Nguyen,Vivian Nguyen,,,
E3,118,29-Mar-23,40.46,Kris Sanchez,Vivian Nguyen,,,
E3,119,29-Mar-23,34.03,Vivian Nguyen,Vivian Nguyen,,,
E3,120,29-Mar-23,34.45,Vivian Nguyen,Vivian Nguyen,,,
E3,121,29-Mar-23,50.02,Vivian Nguyen,Vivian Nguyen,,,
E3,122,29-Mar-23,31.3,Kris Sanchez,Vivian Nguyen,,,
E3,123,29-Mar-23,31.55,Kris Sanchez,Vivian Nguyen,,,
E3,124,29-Mar-23,35.93,Kris Sanchez,Vivian Nguyen,,,
E3,125,29-Mar-23,36.51,Kris Sanchez,Vivian Nguyen,,,
E3,126,29-Mar-23,65.35,Vivian Nguyen,Vivian Nguyen,,,
E3,127,29-Mar-23,38.75,Kris Sanchez,Vivian Nguyen,,,
E3,128,29-Mar-23,34.76,Kris Sanchez,Vivian Nguyen,,,
E3,129,29-Mar-23,42.53,Vivian Nguyen,Vivian Nguyen,,,
E3,130,29-Mar-23,33.63,Vivian Nguyen,Vivian Nguyen,,,
E3,131,29-Mar-23,44.36,Vivian Nguyen,Vivian Nguyen,,,
E3,132,29-Mar-23,30,Kris Sanchez,Vivian Nguyen,,,
E3,133,29-Mar-23,46.41,Kris Sanchez,Vivian Nguyen,,,
E3,134,29-Mar-23,31.74,Vivian Nguyen,Vivian Nguyen,,,
E3,135,29-Mar-23,44.79,Vivian Nguyen,Vivian Nguyen,,,
E3,136,29-Mar-23,50.58,Vivian Nguyen,Vivian Nguyen,,,
E3,137,29-Mar-23,39.44,Vivian Nguyen,Vivian Nguyen,,,
E3,138,29-Mar-23,39.22,Kris Sanchez,Vivian Nguyen,,,
E3,139,30-Mar-23,28.88,Gabrielle Janfield,,,,
E3,140,30-Mar-23,38.45,Gabrielle Janfield,,,,
E3,141,30-Mar-23,66.46,Gabrielle Janfield,,,,
E3,142,30-Mar-23,29.72,Gabrielle Janfield,,,,
E3,143,30-Mar-23,49.59,Gabrielle Janfield,,,,
E3,144,30-Mar-23,35.71,Gabrielle Janfield,,,,
E3,145,30-Mar-23,49.57,Gabrielle Janfield,,,,
E3,146,30-Mar-23,36.79,Gabrielle Janfield,,,,
E3,147,30-Mar-23,35,Gabrielle Janfield,,,,
E3,148,30-Mar-23,32.22,Gabrielle Janfield,,,,
E3,149,30-Mar-23,36.89,Gabrielle Janfield,,,,
E3,150,30-Mar-23,52.4,Gabrielle Janfield,,,empty bag from box E3 101-150 = 32.38g,
E3,151,30-Mar-23,50.58,Gabrielle Janfield,,,,
E3,152,30-Mar-23,30.45,Gabrielle Janfield,,,,
E3,153,30-Mar-23,35.77,Gabrielle Janfield,,,,
E3,154,30-Mar-23,33.5,Gabrielle Janfield,,,,
E3,155,30-Mar-23,29.81,Gabrielle Janfield,,,,
E3,156,30-Mar-23,43.95,Gabrielle Janfield,,,,
E3,157,30-Mar-23,30.46,Gabrielle Janfield,,,,
E3,158,30-Mar-23,47.72,Gabrielle Janfield,,,,
E3,159,30-Mar-23,32.18,Gabrielle Janfield,,,,
E3,160,30-Mar-23,36.56,Gabrielle Janfield,,,,
E3,161,30-Mar-23,42.38,Gabrielle Janfield,,,,
E3,162,30-Mar-23,30.39,Gabrielle Janfield,,,,
E3,163,30-Mar-23,41.41,Gabrielle Janfield,,,,
E3,164,30-Mar-23,44.77,Gabrielle Janfield,,,,
E3,165,30-Mar-23,58.54,Gabrielle Janfield,,,,
E3,166,30-Mar-23,36.54,Gabrielle Janfield,,,,
E3,167,30-Mar-23,30.48,Gabrielle Janfield,,1,Whole bag missing,
E3,168,30-Mar-23,35.21,Gabrielle Janfield,,,,
E3,169,30-Mar-23,42.31,Gabrielle Janfield,,,,
E3,170,30-Mar-23,42.54,Gabrielle Janfield,,,,
E3,171,30-Mar-23,36.7,Gabrielle Janfield,,,,
