Block,Pos,Date,Weight,Measured_by,Entered_by,Missing,NOTES
E3,1,2024-01-23,48.34,Heidi Albers,Heidi Albers,,
E3,2,2024-01-23,43.73,Heidi Albers,Heidi Albers,,
E3,3,2024-01-23,39.07,Heidi Albers,Heidi Albers,,
E3,4,2024-01-23,39.48,Heidi Albers,Heidi Albers,,
E3,5,2024-01-23,34.05,Heidi Albers,Heidi Albers,,
E3,6,2024-01-23,33.02,Heidi Albers,Heidi Albers,1,No fruit
E3,7,2024-01-23,36.46,Heidi Albers,Heidi Albers,,
E3,8,2024-01-23,64.88,Heidi Albers,Heidi Albers,,
E3,9,2024-01-23,36.96,Heidi Albers,Heidi Albers,,
E3,10,2024-01-23,35.00,Heidi Albers,Heidi Albers,,
E3,11,2024-01-23,33.16,Heidi Albers,Heidi Albers,1,No fruit
E3,12,2024-01-23,34.40,Heidi Albers,Heidi Albers,,
E3,13,2024-01-23,39.98,Heidi Albers,Heidi Albers,,
E3,14,2024-01-23,34.82,Heidi Albers,Heidi Albers,,
E3,15,2024-01-23,37.34,Heidi Albers,Heidi Albers,,
E3,16,2024-01-23,39.24,Heidi Albers,Heidi Albers,,
E3,17,2024-01-23,36.31,Heidi Albers,Heidi Albers,,
E3,18,2024-01-23,51.32,Heidi Albers,Heidi Albers,,
E3,19,2024-01-23,38.55,Heidi Albers,Heidi Albers,,
E3,20,2024-01-23,42.21,Heidi Albers,Heidi Albers,,
E3,21,2024-01-23,32.72,Heidi Albers,Heidi Albers,,
E3,22,2024-01-23,37.92,Heidi Albers,Heidi Albers,,
E3,23,2024-01-23,41.89,Heidi Albers,Heidi Albers,,
E3,24,2024-01-23,37.72,Heidi Albers,Heidi Albers,,
E3,25,2024-01-23,48.50,Heidi Albers,Heidi Albers,,
E3,26,2024-01-23,35.51,Heidi Albers,Heidi Albers,,
E3,27,2024-01-23,37.59,Heidi Albers,Heidi Albers,,
E3,28,2024-01-23,59.11,Heidi Albers,Heidi Albers,,
E3,29,2024-01-23,38.32,Heidi Albers,Heidi Albers,,
E3,30,2024-01-23,38.54,Heidi Albers,Heidi Albers,,
E3,31,2024-01-23,34.38,Heidi Albers,Heidi Albers,,
E3,32,2024-01-23,38.44,Heidi Albers,Heidi Albers,,
E3,33,2024-01-23,61.99,Heidi Albers,Heidi Albers,,
E3,34,2024-01-23,34.53,Heidi Albers,Heidi Albers,,
E3,35,2024-01-23,35.88,Heidi Albers,Heidi Albers,,
E3,36,2024-01-23,46.01,Heidi Albers,Heidi Albers,,
E3,37,2024-01-23,33.72,Heidi Albers,Heidi Albers,,
E3,38,2024-01-23,38.55,Heidi Albers,Heidi Albers,,
E3,39,2024-01-23,38.80,Heidi Albers,Heidi Albers,,
E3,40,2024-01-23,42.60,Heidi Albers,Heidi Albers,,
E3,41,2024-01-23,37.76,Heidi Albers,Heidi Albers,,
E3,42,2024-01-23,37.70,Heidi Albers,Heidi Albers,,
E3,43,2024-01-23,46.56,Heidi Albers,Heidi Albers,,
E3,44,2024-01-23,35.91,Heidi Albers,Heidi Albers,,
E3,45,2024-01-23,43.15,Heidi Albers,Heidi Albers,,
E3,46,2024-01-23,34.28,Heidi Albers,Heidi Albers,,
E3,47,2024-01-23,33.88,Heidi Albers,Heidi Albers,,
E3,48,2024-01-23,38.25,Heidi Albers,Heidi Albers,,
E3,49,2024-01-23,39.04,Heidi Albers,Heidi Albers,,Both 49 and 50 in this bag
E3,50,2024-01-23,33.38,Heidi Albers,Heidi Albers,,49/50 together in bag 49
E3,51,2024-01-22,34.71,Heidi Albers,Heidi Albers,,
