date,measurer,block,pos,dmg.score,egg,larvae,adult,weevil,other.herb,undamaged.stems,damaged.stems,total.stems,focal.dam,notes
19-Jun-19,Claire,E4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19-Jun-19,Claire,E4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19-Jun-19,Claire,E4,3,3,1,1,0,NA,NA,6,0,6,0,
19-Jun-19,Claire,E4,4,3,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,5,2,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,6,2,1,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,7,3,1,1,1,NA,NA,5,0,5,0,
19-Jun-19,Claire,E4,8,2,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,9,2,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,10,2,1,1,1,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,11,1,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,12,2,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,13,2,1,0,0,NA,NA,5,0,5,0,
19-Jun-19,Claire,E4,14,2,1,0,0,NA,NA,7,0,7,0,
19-Jun-19,Claire,E4,15,1,0,0,0,NA,NA,2,1,3,1,
19-Jun-19,Claire,E4,16,2,1,1,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,17,2,0,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,18,2,1,1,0,NA,NA,6,0,6,0,
19-Jun-19,Claire,E4,19,2,1,0,1,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,20,2,1,0,0,NA,NA,6,0,6,0,
19-Jun-19,Claire,E4,21,2,1,1,0,NA,NA,6,0,6,0,
19-Jun-19,Claire,E4,22,2,1,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,23,3,1,1,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,24,3,1,0,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,25,2,1,1,0,NA,NA,5,0,5,0,
19-Jun-19,Claire,E4,26,1,1,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,27,1,1,1,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,28,3,1,1,0,NA,NA,2,2,4,0,
19-Jun-19,Claire,E4,29,2,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,30,2,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,31,2,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,32,2,1,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,33,2,1,0,0,NA,NA,2,1,3,0,
19-Jun-19,Claire,E4,34,2,1,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,35,2,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,36,2,1,0,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,37,2,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,38,2,1,0,1,NA,NA,2,1,3,0,
19-Jun-19,Claire,E4,39,1,1,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,40,1,1,0,0,NA,NA,3,1,4,0,
19-Jun-19,Claire,E4,41,1,1,0,0,NA,NA,7,0,7,0,
19-Jun-19,Claire,E4,42,2,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,43,2,1,1,0,NA,NA,2,1,3,0,
19-Jun-19,Claire,E4,44,0,0,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,45,3,1,1,0,NA,NA,5,0,5,0,
19-Jun-19,Claire,E4,46,3,1,0,1,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,47,1,0,0,0,NA,NA,1,0,1,0,
19-Jun-19,Claire,E4,48,3,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,49,1,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,50,1,1,1,0,NA,NA,2,0,2,0,
19-Jun-19,Claire,E4,51,1,1,0,0,NA,NA,7,0,7,0,
19-Jun-19,Claire,E4,52,1,0,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,53,3,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,54,1,1,0,0,NA,NA,5,1,6,1,
19-Jun-19,Claire,E4,55,1,1,0,0,NA,NA,6,1,7,0,
19-Jun-19,Claire,E4,56,2,1,1,0,NA,NA,6,3,9,0,
19-Jun-19,Claire,E4,57,2,1,0,0,NA,NA,7,0,7,0,
19-Jun-19,Claire,E4,58,1,1,1,0,NA,NA,3,2,5,1,
19-Jun-19,Claire,E4,59,1,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,60,1,1,0,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,61,2,1,1,0,NA,NA,11,0,11,0,
19-Jun-19,Claire,E4,62,1,0,0,0,NA,NA,2,5,7,0,
19-Jun-19,Claire,E4,63,1,1,0,0,NA,NA,3,3,6,0,
19-Jun-19,Claire,E4,64,1,1,1,0,NA,NA,2,1,3,1,
19-Jun-19,Claire,E4,65,2,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,66,3,1,1,0,NA,NA,5,1,6,0,
19-Jun-19,Claire,E4,67,2,1,1,0,NA,NA,2,1,3,0,
19-Jun-19,Claire,E4,68,1,1,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,69,1,1,1,0,NA,NA,5,1,6,0,
19-Jun-19,Claire,E4,70,1,1,1,0,NA,NA,2,1,3,1,
19-Jun-19,Claire,E4,71,1,1,1,0,NA,NA,5,4,9,0,
19-Jun-19,Claire,E4,72,2,1,0,0,NA,NA,4,0,4,0,
19-Jun-19,Claire,E4,73,3,1,0,0,NA,NA,6,3,9,0,
19-Jun-19,Claire,E4,74,2,1,1,0,NA,NA,5,2,7,0,
19-Jun-19,Claire,E4,75,2,1,1,0,NA,NA,2,4,6,1,
19-Jun-19,Claire,E4,76,1,1,1,0,NA,NA,3,0,3,0,
19-Jun-19,Claire,E4,77,2,1,1,0,NA,NA,9,1,10,0,
19-Jun-19,Claire,E4,78,2,1,1,0,NA,NA,1,2,3,0,
19-Jun-19,Claire,E4,79,3,1,0,0,NA,NA,16,2,18,0,
19-Jun-19,Claire,E4,80,2,1,1,0,NA,NA,3,1,4,0,
19-Jun-19,Claire,E4,81,2,1,1,0,NA,NA,7,1,8,1,
19-Jun-19,Claire,E4,82,2,1,1,0,NA,NA,3,3,6,1,
19-Jun-19,Claire,E4,83,2,1,0,0,NA,NA,4,2,6,0,
19-Jun-19,Claire,E4,84,2,1,0,0,NA,NA,7,1,8,0,
19-Jun-19,Claire,E4,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19-Jun-19,Claire,E4,86,2,1,1,0,NA,NA,2,1,3,0,
19-Jun-19,Claire,E4,87,2,1,1,0,NA,NA,3,1,4,0,
19-Jun-19,Claire,E4,88,2,1,1,0,NA,NA,12,3,15,0,
19-Jun-19,Claire,E4,89,2,1,0,0,NA,NA,7,1,8,0,
19-Jun-19,Claire,E4,90,1,1,1,0,NA,NA,5,0,5,0,
19-Jun-19,Claire,E4,91,2,1,0,0,NA,NA,15,4,19,0,
19-Jun-19,Claire,E4,92,1,1,1,0,NA,NA,7,1,8,0,
19-Jun-19,Claire,E4,93,2,1,0,0,NA,NA,5,4,9,0,
19-Jun-19,Claire,E4,94,2,1,1,0,NA,NA,4,3,7,1,
19-Jun-19,Claire,E4,95,1,1,0,0,NA,NA,6,2,8,1,
19-Jun-19,Claire,E4,96,1,1,1,0,NA,NA,9,1,10,0,
19-Jun-19,Claire,E4,97,2,1,1,0,NA,NA,2,3,5,1,
19-Jun-19,Claire,E4,98,2,1,1,0,NA,NA,2,3,5,1,
19-Jun-19,Claire,E4,99,2,1,1,0,NA,NA,8,6,14,0,
19-Jun-19,Claire,E4,100,3,1,1,0,NA,NA,9,4,13,0,
20-Jun-19,Claire,E4,101,3,1,1,0,NA,NA,2,0,2,0,
20-Jun-19,Claire,E4,102,3,1,1,0,NA,NA,0,4,4,1,
20-Jun-19,Claire,E4,103,2,1,1,0,NA,NA,3,1,4,0,
20-Jun-19,Claire,E4,104,2,1,1,0,NA,NA,3,2,5,1,
20-Jun-19,Claire,E4,105,2,1,1,0,NA,NA,2,4,6,1,
20-Jun-19,Claire,E4,106,2,1,1,0,NA,NA,3,2,5,1,
20-Jun-19,Claire,E4,107,1,0,0,0,NA,NA,3,2,5,0,
20-Jun-19,Claire,E4,108,1,0,0,0,NA,NA,7,3,10,0,
20-Jun-19,Claire,E4,109,2,1,1,0,NA,NA,0,4,4,1,
20-Jun-19,Claire,E4,110,2,1,0,0,NA,NA,2,2,4,0,
20-Jun-19,Claire,E4,111,1,0,0,0,NA,NA,7,2,9,0,
20-Jun-19,Claire,E4,112,3,1,1,0,NA,NA,4,2,6,0,
20-Jun-19,Claire,E4,113,2,1,0,0,NA,NA,7,1,8,0,
20-Jun-19,Claire,E4,114,2,0,1,0,NA,NA,4,4,8,1,
20-Jun-19,Claire,E4,115,3,1,1,0,NA,NA,1,5,6,1,
20-Jun-19,Claire,E4,116,1,1,0,0,NA,NA,5,0,5,0,
20-Jun-19,Claire,E4,117,2,1,1,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,118,1,1,0,0,NA,NA,1,7,8,1,
20-Jun-19,Claire,E4,119,2,1,0,0,NA,NA,7,1,8,0,
20-Jun-19,Claire,E4,120,2,1,1,0,NA,NA,8,0,8,0,
20-Jun-19,Claire,E4,121,2,1,0,0,NA,NA,2,1,3,1,
20-Jun-19,Claire,E4,122,1,0,0,0,NA,NA,5,0,5,0,
20-Jun-19,Claire,E4,123,1,0,0,0,NA,NA,4,0,4,0,
20-Jun-19,Claire,E4,124,1,0,0,0,NA,NA,10,0,10,0,
20-Jun-19,Claire,E4,125,2,1,1,0,NA,NA,6,0,6,0,
20-Jun-19,Claire,E4,126,1,1,1,0,NA,NA,7,4,11,1,
20-Jun-19,Claire,E4,127,1,1,0,0,NA,NA,8,1,9,0,
20-Jun-19,Claire,E4,128,2,1,1,0,NA,NA,6,3,9,0,
