date,measurer,block,pos,veg,bud,flw,frt,abt,mer,sec,new,notes,,
2019-05-22,Claire,E1,1,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,2,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,3,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,4,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,5,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,6,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,7,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,8,7.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,9,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,10,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,11,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,12,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,13,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,14,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,15,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,16,6,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,17,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,18,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,19,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,20,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,21,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,22,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,23,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,24,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,25,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,26,23.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,27,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,28,6,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,29,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,30,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,31,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,32,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,33,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,34,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,35,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,36,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,37,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,38,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,39,10.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,40,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,41,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,42,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,43,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,44,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,45,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,46,6.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,47,9.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,48,4.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,49,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,50,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,51,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,52,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,53,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,54,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,55,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,56,17.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,57,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,58,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,59,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,60,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,61,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,62,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,63,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,64,9.5,NA,NA,NA,NA,0,0,0,,,
