BLOCK,ID,CODE,POP,FAM,IND,LAT,LON,POPNAME
E1,1,P15/F22/I01,15,22,01,44.2915,-79.04909003,ONBV
E1,2,P18/F77/I01,18,77,01,45.76868,-79.39777502,ONSU
E1,3,P11/F60/I13,11,60,13,43.28958,-76.128568,NYWM
E1,4,P17/F30/I01,17,30,01,45.02376,-79.31190301,ONBB
E1,5,P12/F75/I01,12,75,01,44.54749,-76.12868903,ONLY
E1,6,P17/F59/I01,17,59,01,45.02376,-79.31190301,ONBB
E1,7,P09/F72/I01,9,72,01,42.79109,-76.135327,NYTY
E1,8,P13/F27/I01,13,27,01,44.6076,-76.27898502,ONCQ
E1,9,P13/F53/I01,13,53,01,44.6076,-76.27898502,ONCQ
E1,10,P01/F07/I01,1,07,01,38.8235,-77.71118397,VABR
E1,11,P16/F09/I01,16,09,01,44.75284,-79.33799797,ONWA
E1,12,P15/F42/I01,15,42,01,44.2915,-79.04909003,ONBV
E1,13,P09/F49/I01,9,49,01,42.79109,-76.135327,NYTY
E1,14,P20/F43/I01,20,43,01,48.10384,-80.19977597,ONKE
E1,15,P01/F47/I01,1,47,01,38.8235,-77.71118397,VABR
E1,16,P06/F19/I01,6,19,01,41.57154,-74.48428896,NYWU
E1,17,P14/F20/I01,14,20,01,44.29771,-78.300041,ONPB
E1,18,P18/F03/I01,18,03,01,45.76868,-79.39777502,ONSU
E1,19,P04/F14/I01,4,14,01,40.06813,-76.90717204,PAGP
E1,20,P19/F06/I01,19,06,01,47.73136,-80.32791398,ONEL
E1,21,P02/F25/I01,2,25,01,38.7966,-77.29988901,VAFF
E1,22,P01/F20/I01,1,20,01,38.8235,-77.71118397,VABR
E1,23,P20/F07/I01,20,07,01,48.10384,-80.19977597,ONKE
E1,24,P14/F61/I01,14,61,01,44.29771,-78.300041,ONPB
E1,25,P13/F78/I01,13,78,01,44.6076,-76.27898502,ONCQ
E1,26,P11/F66/I01,11,66,01,43.28958,-76.128568,NYWM
E1,27,P13/F45/I01,13,45,01,44.6076,-76.27898502,ONCQ
E1,28,P15/F14/I01,15,14,01,44.2915,-79.04909003,ONBV
E1,29,P16/F66/I01,16,66,01,44.75284,-79.33799797,ONWA
E1,30,P12/F60/I01,12,60,01,44.54749,-76.12868903,ONLY
E1,31,P19/F26/I01,19,26,01,47.73136,-80.32791398,ONEL
E1,32,P15/F13/I01,15,13,01,44.2915,-79.04909003,ONBV
E1,33,P12/F51/I01,12,51,01,44.54749,-76.12868903,ONLY
E1,34,P03/F31/I01,3,31,01,40.23327,-77.280415,PAOL
E1,35,P06/F21/I01,6,21,01,41.57154,-74.48428896,NYWU
E1,36,P14/F30/I01,14,30,01,44.29771,-78.300041,ONPB
E1,37,P18/F76/I01,18,76,01,45.76868,-79.39777502,ONSU
E1,38,P06/F65/I01,6,65,01,41.57154,-74.48428896,NYWU
E1,39,P01/F26/I01,1,26,01,38.8235,-77.71118397,VABR
E1,40,P04/F46/I01,4,46,01,40.06813,-76.90717204,PAGP
E1,41,P19/F70/I01,19,70,01,47.73136,-80.32791398,ONEL
E1,42,P15/F39/I01,15,39,01,44.2915,-79.04909003,ONBV
E1,43,P16/F59/I01,16,59,01,44.75284,-79.33799797,ONWA
E1,44,P20/F73/I01,20,73,01,48.10384,-80.19977597,ONKE
E1,45,P08/F43/I01,8,43,01,41.97527,-75.19598002,NYEB
E1,46,P19/F25/I01,19,25,01,47.73136,-80.32791398,ONEL
E1,47,P05/F50/I01,5,50,01,41.42692,-75.63466896,PASC
E1,48,P13/F61/I01,13,61,01,44.6076,-76.27898502,ONCQ
E1,49,P22/F24/I01,22,24,01,46.75552,-79.04650404,QCTM
E1,50,P20/F50/I01,20,50,01,48.10384,-80.19977597,ONKE
E1,51,P10/F02/I01,10,02,01,43.69717,-76.19529499,NYLV
E1,52,P22/F11/I01,22,11,01,46.75552,-79.04650404,QCTM
E1,53,P06/F05/I01,6,05,01,41.57154,-74.48428896,NYWU
E1,54,P14/F72/I01,14,72,01,44.29771,-78.300041,ONPB
E1,55,P09/F27/I01,9,27,01,42.79109,-76.135327,NYTY
E1,56,P11/F68/I01,11,68,01,43.28958,-76.128568,NYWM
E1,57,P11/F15/I01,11,15,01,43.28958,-76.128568,NYWM
E1,58,P20/F47/I01,20,47,01,48.10384,-80.19977597,ONKE
E1,59,P09/F35/I01,9,35,01,42.79109,-76.135327,NYTY
E1,60,P13/F60/I01,13,60,01,44.6076,-76.27898502,ONCQ
E1,61,P04/F80/I01,4,80,01,40.06813,-76.90717204,PAGP
E1,62,P10/F08/I01,10,08,01,43.69717,-76.19529499,NYLV
E1,63,P20/F59/I01,20,59,01,48.10384,-80.19977597,ONKE
E1,64,P19/F40/I01,19,40,01,47.73136,-80.32791398,ONEL
E1,65,P16/F79/I01,16,79,01,44.75284,-79.33799797,ONWA
E1,66,P17/F01/I01,17,01,01,45.02376,-79.31190301,ONBB
E1,67,P17/F65/I01,17,65,01,45.02376,-79.31190301,ONBB
E1,68,P13/F37/I01,13,37,01,44.6076,-76.27898502,ONCQ
E1,69,P18/F80/I01,18,80,01,45.76868,-79.39777502,ONSU
E1,70,P14/F09/I01,14,09,01,44.29771,-78.300041,ONPB
E1,71,P01/F59/I01,1,59,01,38.8235,-77.71118397,VABR
E1,72,P11/F30/I01,11,30,01,43.28958,-76.128568,NYWM
E1,73,P16/F38/I01,16,38,01,44.75284,-79.33799797,ONWA
E1,74,P02/F19/I01,2,19,01,38.7966,-77.29988901,VAFF
